Year,ICPSR State Code,Alphanumeric State Code,,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2014,0,0,United States,36.7%,36.0%,33.2%,"83,262,122","81,687,059","227,157,964","245,712,915",8.4%,"1,493,706","2,298,993","548,576","3,329,718","5,345,814"
2014,41,1,Alabama,33.2%,32.9%,31.5%,"1,191,274","1,180,413","3,588,783","3,751,844",2.5%,"31,691","53,640","8,097","69,826",
2014,81,2,Alaska,54.8%,54.2%,51.0%,"285,431","282,382","520,562","553,473",3.9%,"5,216","7,077","2,210","11,389",
2014,61,3,Arizona,34.1%,33.4%,29.5%,"1,537,671","1,506,416","4,510,186","5,110,890",10.1%,"37,516","73,232","7,502","86,028",
2014,42,4,Arkansas,40.3%,40.1%,37.5%,"852,642","848,592","2,117,881","2,263,040",4.0%,"17,756","28,192","21,743","55,287",
2014,71,5,California,30.7%,29.9%,24.7%,"7,513,972","7,317,581","24,440,416","29,646,675",16.8%,"136,088",0,"87,104","223,192",
2014,62,6,Colorado,54.7%,53.7%,49.4%,"2,080,071","2,041,020","3,800,664","4,128,890",7.2%,"19,121",0,"10,067","29,188",
2014,1,7,Connecticut,42.5%,42.3%,38.5%,"1,096,556","1,089,880","2,577,311","2,828,791",8.2%,"16,113",0,"2,564","18,677",
2014,11,8,Delaware,34.9%,34.3%,31.8%,"238,110","234,038","681,526","735,156",5.1%,"6,625","15,665",676,"16,073",
2014,55,9,District of Columbia,35.7%,35.3%,32.0%,"177,176","175,071","495,899","547,228",9.4%,0,0,0,0,
2014,43,10,Florida,43.3%,42.8%,37.6%,"6,026,802","5,951,561","13,914,216","15,816,663",10.6%,"95,671","227,087","4,519","227,359",
2014,44,11,Georgia,38.6%,38.2%,33.8%,"2,596,947","2,567,761","6,725,041","7,601,982",7.1%,"50,499","471,067","25,547","339,844",
2014,82,12,Hawaii,36.5%,36.2%,32.9%,"369,554","366,125","1,012,123","1,113,693",8.6%,"5,721",0,0,"5,721",
2014,63,13,Idaho,39.8%,39.3%,36.5%,"445,307","439,830","1,119,882","1,205,611",4.6%,"7,901","33,450","4,217","30,850",
2014,21,14,Illinois,40.8%,40.2%,36.6%,"3,680,417","3,627,690","9,028,752","9,922,399",8.5%,"46,465",0,0,"46,465",
2014,22,15,Indiana,28.7%,27.8%,26.7%,"1,387,622","1,341,814","4,829,510","5,033,872",3.5%,"28,638",0,0,"28,638",
2014,31,16,Iowa,50.3%,49.8%,47.3%,"1,142,284","1,129,700","2,269,179","2,386,733",3.6%,"8,686","29,929","5,769","31,215",
2014,32,17,Kansas,43.3%,42.5%,39.8%,"887,023","869,502","2,048,164","2,184,712",5.2%,"9,326","16,328","4,051","22,521",
2014,51,18,Kentucky,44.9%,44.2%,42.2%,"1,459,409","1,435,868","3,247,300","3,406,506",2.7%,"21,402","54,107","16,729","68,431",
2014,45,19,Louisiana,44.9%,43.9%,41.5%,"1,503,975","1,472,039","3,349,433","3,545,845",3.0%,"37,881","40,979","29,619","90,448",
2014,2,20,Maine,58.7%,58.1%,57.0%,"616,996","611,255","1,051,557","1,071,521",1.9%,0,0,0,0,
2014,52,21,Maryland,42.0%,41.7%,37.3%,"1,745,104","1,733,177","4,154,546","4,645,171",8.9%,"20,388","79,539","11,537","76,467",
2014,3,22,Massachusetts,44.7%,44.1%,40.2%,"2,186,789","2,158,326","4,896,296","5,369,534",8.6%,"10,014",0,0,"10,014",
2014,23,23,Michigan,43.2%,42.7%,41.0%,"3,188,956","3,156,531","7,383,958","7,700,110",3.5%,"42,900",0,0,"42,900",
2014,33,24,Minnesota,50.6%,50.4%,47.2%,"1,992,613","1,981,511","3,935,121","4,194,166",4.5%,"10,003","97,661","6,642","71,335",
2014,46,25,Mississippi,,29.0%,27.9%,,"631,858","2,181,131","2,267,463",1.7%,"18,756","34,398","9,883","47,902",
2014,34,26,Missouri,33.6%,31.7%,30.5%,"1,509,025","1,426,303","4,493,722","4,682,458",2.4%,"31,432","47,303","18,495","76,417",
2014,64,27,Montana,47.5%,46.9%,46.1%,"373,831","369,826","787,748","802,644",1.4%,"3,681",0,0,"3,681",
2014,35,28,Nebraska,41.4%,40.5%,38.0%,"552,115","539,891","1,334,453","1,419,489",5.0%,"5,221","12,940","1,067","13,534",
2014,65,29,Nevada,29.6%,29.3%,25.2%,"552,546","547,349","1,867,644","2,173,640",12.9%,"12,537","12,027","5,927","25,199",
2014,4,30,New Hampshire,48.3%,47.6%,46.0%,"495,565","488,159","1,025,862","1,061,054",3.0%,"2,867",0,0,"2,867",
2014,12,31,New Jersey,32.5%,31.1%,27.0%,"1,955,042","1,869,535","6,014,127","6,936,661",11.9%,"20,255","115,898","14,889","100,047",
2014,66,32,New Mexico,,35.4%,32.3%,,"512,805","1,449,503","1,586,442",7.5%,"6,879","16,060","2,255","18,128",
2014,13,33,New York,29.0%,28.2%,24.6%,"3,930,310","3,819,010","13,553,426","15,544,111",12.2%,"48,376",0,"44,889","93,265",
2014,47,34,North Carolina,41.2%,40.8%,37.9%,"2,939,767","2,915,281","7,143,737","7,693,406",5.9%,"35,726","90,918","10,025","96,665",
2014,36,35,North Dakota,45.0%,43.8%,42.7%,"255,128","248,670","567,221","582,205",2.3%,"1,700",0,0,"1,700",
2014,24,36,Ohio,36.2%,35.1%,34.1%,"3,149,876","3,055,913","8,701,243","8,969,074",2.4%,"51,024",0,0,"51,024",
2014,53,37,Oklahoma,30.0%,29.9%,28.1%,"825,607","824,831","2,755,091","2,940,437",4.7%,"27,650","28,568","2,560","46,208",
2014,72,38,Oregon,53.4%,50.9%,47.2%,"1,541,782","1,469,717","2,887,517","3,115,883",6.8%,"15,075",0,0,"15,075",
2014,14,39,Pennsylvania,36.5%,36.1%,34.6%,"3,535,576","3,495,866","9,689,491","10,100,271",3.6%,"49,643",0,0,"49,643",
2014,5,40,Rhode Island,42.4%,41.7%,38.5%,"329,212","324,055","776,286","842,605",7.5%,"3,294",0,0,"3,294",
2014,48,41,South Carolina,35.2%,34.8%,33.1%,"1,261,611","1,246,301","3,584,461","3,760,480",3.5%,"20,917","35,096","5,225","45,796",
2014,37,42,South Dakota,44.7%,44.3%,43.1%,"282,291","279,412","630,989","647,810",1.6%,"3,528",0,"2,611","6,139",
2014,54,43,Tennessee,29.8%,28.6%,27.2%,"1,430,117","1,374,065","4,799,476","5,060,636",3.6%,"28,495","62,950","13,498","77,245",
2014,49,44,Texas,,28.3%,23.8%,,"4,727,208","16,675,420","19,847,831",13.5%,"157,361","388,101","111,412","486,110",
2014,67,45,Utah,30.3%,29.7%,27.5%,"577,973","565,970","1,905,801","2,054,936",6.9%,"6,824",0,0,"6,824",
2014,6,46,Vermont,40.8%,38.9%,38.1%,"202,445","193,087","495,884","507,304",2.3%,0,0,0,0,
2014,40,47,Virginia,36.8%,36.6%,33.7%,"2,194,346","2,184,473","5,962,456","6,489,957",7.1%,"36,943","54,966","1,732","69,456",
2014,73,48,Washington,43.1%,41.2%,37.1%,"2,123,901","2,029,189","4,928,407","5,467,270",8.4%,"17,345","94,112","9,880","79,928",
2014,56,49,West Virginia,32.0%,31.2%,30.7%,"462,864","451,498","1,447,652","1,472,594",0.8%,"6,873","7,174","2,749","13,639",
2014,25,50,Wisconsin,56.9%,56.6%,53.9%,"2,422,248","2,410,314","4,260,427","4,470,265",3.2%,"22,097","46,212","20,010","67,986",
2014,68,51,Wyoming,39.7%,39.0%,37.3%,"171,153","168,390","431,434","451,484",3.1%,"2,330","5,196",715,"5,955",
2012,0,0,United States,58.6%,58.0%,53.6%,"130,292,355","129,070,906","222,474,111","240,957,993",8.4%,"1,473,412","2,342,582","637,410","3,352,390","5,127,418"
2012,41,1,Alabama,,58.6%,56.0%,,"2,074,338","3,539,217","3,707,440",2.6%,"32,232","57,993","8,616","71,584",
2012,81,2,Alaska,58.9%,58.7%,55.3%,"301,694","300,495","511,792","543,763",3.8%,"5,633","7,173","1,882","11,317",
2012,61,3,Arizona,53.0%,52.6%,46.5%,"2,323,579","2,306,559","4,387,900","4,959,270",9.9%,"35,188","72,452","7,460","81,048",
