Year-State,Year,State,Democratic Candidates,Republican Candidates,Other Candidates,,Total,,,,Competitiveness
2000-AL,2000,AL,1178271,1790402,136593,,3105266,0.379442856,0.576569608,0.043987536,0.197126752
2000-AK,2000,AK,124376,358260,77317,,559953,0.222118642,0.639803698,0.13807766,0.417685056
2000-AS,2000,AS,5500,,3505,,9005,0.610771793,0,0.389228207,0.610771793
2000-AZ,2000,AZ,1243190,2744563,406995,,4394748,0.282880839,0.624509756,0.092609406,0.341628917
2000-AR,2000,AR,778134,750086,26326,,1554546,0.500553859,0.482511293,0.016934848,0.018042567
2000-CA,2000,CA,17200888,12900577,1925670,,32027135,0.537072329,0.402801468,0.060126202,0.134270861
2000-CO,2000,CO,1234272,1852399,278579,,3365250,0.366769779,0.550449149,0.082781071,0.18367937
2000-CT,2000,CT,2344154,1604001,136121,,4084276,0.573946031,0.392725908,0.033328061,0.181220123
2000-DE,2000,DE,458122,491976,17712,,967810,0.47335944,0.508339447,0.018301113,0.034980006
2000-DC,2000,DC,330747,28331,18447,,377525,0.876092974,0.075044037,0.048862989,0.801048937
2000-FL,2000,FL,7877929,8469761,483523,,16831213,0.468054739,0.503217504,0.028727757,0.035162766
2000-GA,2000,GA,2034315,2918057,2489567,,7441939,0.273358193,0.392109771,0.334532035,0.118751578
2000-GU,2000,GU,29109,8173,,,37282,0.780778928,0.219221072,0,0.561557856
2000-HI,2000,HI,677874,333441,42683,,1053998,0.643145433,0.316358285,0.040496282,0.326787148
2000-ID,2000,ID,280982,669592,43882,,994456,0.282548449,0.673324913,0.044126638,0.390776465
2000-IL,2000,IL,5042700,3926727,166048,,9135475,0.551991002,0.429832822,0.018176176,0.12215818
2000-IN,2000,IN,2538420,3814334,148501,,6501255,0.390450767,0.586707336,0.022841897,0.196256569
2000-IA,2000,IA,1170159,1351695,69643,,2591497,0.451537856,0.521588487,0.026873656,0.070050631
2000-KS,2000,KS,727470,1280310,102817,,2110597,0.34467499,0.606610357,0.048714653,0.261935367
2000-KY,2000,KY,1200650,1697407,81539,,2979596,0.402957314,0.569676896,0.027365791,0.166719582
2000-LA,2000,LA,1152012,1674986,140829,,2967827,0.38816683,0.56438128,0.04745189,0.176214449
2000-ME,2000,ME,939740,927742,57606,,1925088,0.488154308,0.481921865,0.029923827,0.006232442
2000-MD,2000,MD,3436652,2385281,77209,,5899142,0.582568109,0.404343716,0.013088175,0.178224393
2000-MA,2000,MA,5473923,1556341,619515,,7649779,0.715566162,0.203449145,0.080984692,0.512117017
2000-MI,2000,MI,6410048,5734823,325051,,12469922,0.514040745,0.459892452,0.026066803,0.054148294
2000-MN,2000,MN,3584023,3150504,487416,,7221943,0.496268525,0.436240496,0.067490979,0.060028028
2000-MS,2000,MS,1214391,1696268,63808,,2974467,0.408271801,0.570276288,0.021451911,0.162004487
2000-MO,2000,MO,3438970,3468500,139796,,7047266,0.487986405,0.492176682,0.019836913,0.004190277
2000-MT,2000,MT,521527,659678,51916,,1233121,0.422932543,0.534966155,0.042101302,0.112033612
2000-NE,2000,NE,762944,1258352,51144,,2072440,0.36813804,0.607183803,0.024678157,0.239045762
2000-NV,2000,NV,743086,963146,88192,,1794424,0.414108371,0.536743824,0.049147805,0.122635453
2000-NH,2000,NH,505102,576749,43647,,1125498,0.448780895,0.512438938,0.038780167,0.063658043
2000-NJ,2000,NJ,4832327,4088610,270184,,9191121,0.525760351,0.444843453,0.029396197,0.080916898
2000-NM,2000,NM,950368,785951,39326,,1775645,0.535224102,0.442628453,0.022147445,0.092595648
2000-NY,2000,NY,11044633,7792744,588311,,19425688,0.568558138,0.401156654,0.030285208,0.167401484
2000-NC,2000,NC,2451292,3145969,93801,,5691062,0.430726638,0.552791201,0.016482161,0.122064564
2000-ND,2000,ND,422927,413172,25354,,861453,0.490946111,0.47962222,0.02943167,0.011323891
2000-OH,2000,OH,5853340,7221819,603651,,13678810,0.427912954,0.527956672,0.044130374,0.100043717
2000-OK,2000,OK,811231,1446157,64356,,2321744,0.349405878,0.622875304,0.027718818,0.273469426
2000-OR,2000,OR,1510707,1320675,142588,,2973970,0.507976543,0.444078118,0.047945339,0.063898425
2000-PA,2000,PA,6920102,6992146,290722,,14202970,0.48722922,0.492301681,0.020469099,0.00507246
2000-PR,2000,PR,,,1984816,,1984816,0,0,1,0
2000-RI,2000,RI,657778,442597,84401,,1184776,0.555191867,0.373570194,0.071237939,0.181621674
2000-SC,2000,SC,1090448,1515268,97282,,2702998,0.403421682,0.56058791,0.035990408,0.157166228
2000-SD,2000,SD,197125,421783,12122,,631030,0.312386099,0.668404038,0.019209863,0.356017939
2000-TN,2000,TN,2421972,3309377,127823,,5859172,0.413364209,0.56481991,0.021815881,0.151455701
2000-TX,2000,TX,7263112,10814141,592799,,18670052,0.389024733,0.579223936,0.031751331,0.190199202
2000-UT,2000,UT,750419,1446547,102246,,2299212,0.326380951,0.62914903,0.044470018,0.302768079
2000-VT,2000,VT,237292,360885,267997,,866174,0.273954194,0.416642615,0.309403192,0.142688421
2000-VA,2000,VA,3573867,3989949,315661,,7879477,0.453566525,0.506372314,0.040061161,0.052805789
2000-VI,2000,VI,19021,,5223,,24244,0.784565253,0,0.215434747,0.784565253
2000-WA,2000,WA,3692961,3303949,334313,,7331223,0.503730551,0.45066819,0.045601259,0.053062361
2000-WV,2000,WV,1185496,566879,79098,,1831473,0.647291006,0.309520806,0.043188188,0.337770199
2000-WI,2000,WI,3994091,3489470,161443,,7645004,0.522444593,0.456437956,0.021117451,0.066006636
2000-WY,2000,WY,168206,447417,28699,,644322,0.261058912,0.694399695,0.044541394,0.433340783
2004-AL,2004,AL,693933,1176394,13122,,1883449,0.368437372,0.624595622,0.006967006,0.25615825
2004-AK,2004,AK,111025,190889,10684,,312598,0.355168619,0.610653299,0.034178082,0.25548468
2004-AZ,2004,AZ,893524,1104294,14767,,2012585,0.443968329,0.548694341,0.00733733,0.104726012
2004-AR,2004,AR,469953,572898,12094,,1054945,0.445476304,0.543059591,0.011464105,0.097583286
2004-CA,2004,CA,6745485,5509826,166541,,12421852,0.54303376,0.443559141,0.013407099,0.099474619
2004-CO,2004,CO,1001732,1101255,27343,,2130330,0.470223862,0.516941037,0.012835101,0.046717175
2004-CT,2004,CT,857488,693826,27455,,1578769,0.54313709,0.439472779,0.017390131,0.103664311
2004-DE,2004,DE,200152,171660,3378,,375190,0.533468376,0.457528186,0.009003438,0.07594019
2004-DC,2004,DC,202970,21256,3360,,227586,0.89183869,0.093397661,0.01476365,0.798441029
2004-FL,2004,FL,3583544,3964522,61744,,7609810,0.4709111,0.520975162,0.008113737,0.050064062
2004-GA,2004,GA,1366149,1914254,21472,,3301875,0.413749461,0.579747568,0.006502972,0.165998107
2004-HI,2004,HI,231708,194191,3114,,429013,0.540095522,0.452645957,0.007258521,0.087449564
2004-ID,2004,ID,181098,409235,8114,,598447,0.302613264,0.683828309,0.013558427,0.381215045
2004-IL,2004,IL,2891550,2345946,36826,,5274322,0.548231602,0.444786268,0.00698213,0.103445334
2004-IN,2004,IN,969011,1479438,19553,,2468002,0.392629747,0.59944765,0.007922603,0.206817904
2004-IA,2004,IA,741898,751957,13053,,1506908,0.492331317,0.499006575,0.008662108,0.006675258
2004-KS,2004,KS,434993,736456,16307,,1187756,0.366230943,0.620039806,0.013729251,0.253808863
2004-KY,2004,KY,712733,1069439,13710,,1795882,0.39687073,0.595495138,0.007634132,0.198624409
2004-LA,2004,LA,820299,1102169,20638,,1943106,0.422158647,0.567220213,0.01062114,0.145061566
2004-ME,2004,ME,396842,330201,13709,,740752,0.535728557,0.445764574,0.018506869,0.089963983
2004-MD,2004,MD,1334493,1024703,27482,,2386678,0.559142457,0.429342794,0.01151475,0.129799663
2004-MA,2004,MA,1803800,1071109,37479,,2912388,0.619354289,0.36777689,0.012868821,0.2515774
2004-MI,2004,MI,2479183,2313746,46323,,4839252,0.512307067,0.478120586,0.009572347,0.034186482
2004-MN,2004,MN,1445014,1346695,36678,,2828387,0.510896847,0.476135338,0.012967815,0.034761509
2004-MS,2004,MS,458094,684981,9070,,1152145,0.397600996,0.594526731,0.007872273,0.196925734
2004-MO,2004,MO,1259171,1455713,16480,,2731364,0.461004465,0.532961919,0.006033615,0.071957454
2004-MT,2004,MT,173710,266063,10672,,450445,0.385640866,0.590667007,0.023692127,0.205026141
2004-NE,2004,NE,254328,512814,11044,,778186,0.326821608,0.658986412,0.01419198,0.332164804
2004-NV,2004,NV,397190,418690,13707,,829587,0.478780405,0.504696915,0.016522679,0.02591651
2004-NH,2004,NH,340511,331237,5990,,677738,0.502422765,0.488739011,0.008838224,0.013683754
2004-NJ,2004,NJ,1911430,1670003,30258,,3611691,0.52923409,0.462388117,0.008377793,0.066845973
2004-NM,2004,NM,370942,376930,8432,,756304,0.490466796,0.498384248,0.011148956,0.007917451
2004-NY,2004,NY,4314280,2962567,114189,,7391036,0.583717898,0.400832441,0.015449661,0.182885457
2004-NC,2004,NC,1525849,1961166,13992,,3501007,0.435831462,0.560171973,0.003996564,0.124340511
2004-ND,2004,ND,111052,196651,5130,,312833,0.354988125,0.62861335,0.016398526,0.273625225
2004-OH,2004,OH,2741167,2859768,26973,,5627908,0.487066775,0.508140503,0.004792722,0.021073728
2004-OK,2004,OK,503966,959792,0,,1463758,0.344295983,0.655704017,0,0.311408033
2004-OR,2004,OR,943163,866831,26788,,1836782,0.51348663,0.471929167,0.014584202,0.041557463
2004-PA,2004,PA,2938095,2793847,37648,,5769590,0.509238091,0.484236662,0.006525247,0.02500143
2004-RI,2004,RI,259765,169046,8323,,437134,0.5942457,0.386714371,0.019039928,0.207531329
2004-SC,2004,SC,661699,937974,18057,,1617730,0.409029319,0.579808744,0.011161937,0.170779425
2004-SD,2004,SD,149244,232584,6387,,388215,0.384436459,0.599111317,0.016452224,0.214674858
2004-TN,2004,TN,1036477,1384375,16467,,2437319,0.425252911,0.567990895,0.006756194,0.142737984
2004-TX,2004,TX,2832704,4526917,51144,,7410765,0.382241779,0.610856909,0.006901312,0.228615129
2004-UT,2004,UT,241199,663742,22903,,927844,0.259956415,0.715359479,0.024684106,0.455403063
2004-VT,2004,VT,184067,121180,7062,,312309,0.589374626,0.388013154,0.022612221,0.201361472
2004-VA,2004,VA,1454742,1716959,26666,,3198367,0.454838985,0.536823635,0.00833738,0.08198465
2004-WA,2004,WA,1510201,1304894,43989,,2859084,0.528211483,0.45640282,0.015385697,0.071808663
2004-WV,2004,WV,326541,423778,5568,,755887,0.431997111,0.560636709,0.00736618,0.128639598
2004-WI,2004,WI,1489504,1478120,29383,,2997007,0.496997171,0.493198715,0.009804115,0.003798456
2004-WY,2004,WY,70776,167629,5023,,243428,0.290747161,0.688618401,0.020634438,0.397871239
2008-AL,2008,AL,813479,1266546,19794,,2099819,0.387404343,0.60316913,0.009426527,0.215764787
2008-AK,2008,AK,123594,193841,8762,,326197,0.378893736,0.594245195,0.026861069,0.215351459
2008-AZ,2008,AZ,1034707,1230111,28657,,2293475,0.451152509,0.536352478,0.012495013,0.085199969
2008-AR,2008,AR,422310,638017,26290,,1086617,0.388646598,0.587159045,0.024194357,0.198512447
2008-CA,2008,CA,8274473,5011781,275646,,13561900,0.610126383,0.369548588,0.020325028,0.240577795
2008-CO,2008,CO,1288633,1073629,39200,,2401462,0.536603536,0.447073075,0.01632339,0.089530461
2008-CT,2008,CT,997772,629428,19597,,1646797,0.605886457,0.382213473,0.01190007,0.223672985
2008-DE,2008,DE,255459,152374,4579,,412412,0.61942669,0.369470335,0.011102975,0.249956354
2008-DC,2008,DC,245800,17367,2686,,265853,0.924571098,0.065325575,0.010103328,0.859245523
2008-FL,2008,FL,4282074,4045624,63046,,8390744,0.510333053,0.482153192,0.007513756,0.028179861
2008-GA,2008,GA,1844123,2048759,31604,,3924486,0.469901791,0.52204518,0.008053029,0.052143389
2008-HI,2008,HI,325871,120566,7131,,453568,0.718461179,0.265816812,0.015722009,0.452644366
2008-ID,2008,ID,236440,403012,15670,,655122,0.360909876,0.615170915,0.023919209,0.254261038
2008-IL,2008,IL,3419348,2031179,71844,,5522371,0.619181145,0.367809225,0.013009629,0.25137192
2008-IN,2008,IN,1374039,1345648,31367,,2751054,0.499459116,0.489139072,0.011401812,0.010320045
