Year-State,Year,State,Democratic Candidates,Republican Candidates,Other Candidates,Total Candidates 
2000-AL,2000,AL,1178271,1790402,136593,3105266
2000-AK,2000,AK,124376,358260,77317,559953
2000-AS,2000,AS,5500,,3505,9005
2000-AZ,2000,AZ,1243190,2744563,406995,4394748
2000-AR,2000,AR,778134,750086,26326,1554546
2000-CA,2000,CA,17200888,12900577,1925670,32027135
2000-CO,2000,CO,1234272,1852399,278579,3365250
2000-CT,2000,CT,2344154,1604001,136121,4084276
2000-DE,2000,DE,458122,491976,17712,967810
2000-DC,2000,DC,330747,28331,18447,377525
2000-FL,2000,FL,7877929,8469761,483523,16831213
2000-GA,2000,GA,2034315,2918057,2489567,7441939
2000-GU,2000,GU,29109,8173,,37282
2000-HI,2000,HI,677874,333441,42683,1053998
2000-ID,2000,ID,280982,669592,43882,994456
2000-IL,2000,IL,5042700,3926727,166048,9135475
2000-IN,2000,IN,2538420,3814334,148501,6501255
2000-IA,2000,IA,1170159,1351695,69643,2591497
2000-KS,2000,KS,727470,1280310,102817,2110597
2000-KY,2000,KY,1200650,1697407,81539,2979596
2000-LA,2000,LA,1152012,1674986,140829,2967827
2000-ME,2000,ME,939740,927742,57606,1925088
2000-MD,2000,MD,3436652,2385281,77209,5899142
2000-MA,2000,MA,5473923,1556341,619515,7649779
2000-MI,2000,MI,6410048,5734823,325051,12469922
2000-MN,2000,MN,3584023,3150504,487416,7221943
2000-MS,2000,MS,1214391,1696268,63808,2974467
2000-MO,2000,MO,3438970,3468500,139796,7047266
2000-MT,2000,MT,521527,659678,51916,1233121
2000-NE,2000,NE,762944,1258352,51144,2072440
2000-NV,2000,NV,743086,963146,88192,1794424
2000-NH,2000,NH,505102,576749,43647,1125498
2000-NJ,2000,NJ,4832327,4088610,270184,9191121
2000-NM,2000,NM,950368,785951,39326,1775645
2000-NY,2000,NY,11044633,7792744,588311,19425688
2000-NC,2000,NC,2451292,3145969,93801,5691062
2000-ND,2000,ND,422927,413172,25354,861453
2000-OH,2000,OH,5853340,7221819,603651,13678810
2000-OK,2000,OK,811231,1446157,64356,2321744
