YearState,ElectionYear,StateAbbreviation,StateName,VoterTurnout,VEPTotalBallotsCounted,VAPHighestOffice,TotalBallotsCounted,HighestOffice,VEP_VotingEligiblePopulation,VAP_VotingAgePopulation,PercentNonCitizen,Prison,Probation,Parole,TotalIneligibleFelon
1980-AK,1980,AK,Alaska,0.587,0.602,0.571,162653,158445,270122,277261,0.02,822,1181,93,1506
1980-AL,1980,AL,Alabama,0.492,0,0.487,0,1341929,2726249,2753078,0.004,6543,10985,2547,14583
1980-AR,1980,AR,Arkansas,0.52,0,0.515,0,837582,1610104,1624917,0.005,2911,2400,2855,6966
1980-AZ,1980,AZ,Arizona,0.462,0.475,0.444,898183,873945,1890167,1968947,0.034,4372,12584,1093,11757
1980-CA,1980,CA,California,0.55,0.562,0.489,8775459,8587063,15610966,17551451,0.108,24569,0,15253,39822
1980-CO,1980,CO,Colorado,0.572,0.591,0.559,1225549,1184415,2071959,2118092,0.02,2629,0,927,3556
1980-CT,1980,CT,Connecticut,0.639,0.647,0.61,1423403,1406285,2201356,2305904,0.038,4308,22981,1932,17731
1980-DE,1980,DE,Delaware,0.56,0.568,0.547,239136,235900,421344,430879,0.013,1474,3762,619,3974
1980-FL,1980,FL,Florida,0.52,0,0.487,0,3686930,7088658,7575002,0.058,20735,38906,8823,49011
1980-GA,1980,GA,Georgia,0.421,0,0.413,0,1596695,3791652,3870251,0.009,12178,58450,3169,44572
1980-HI,1980,HI,Hawaii,0.469,0.492,0.436,318026,303287,646583,695906,0.069,985,0,0,985
1980-IA,1980,IA,Iowa,0.636,0.635,0.629,1314258,1317661,2070935,2093321,0.007,2481,8815,639,7528
1980-ID,1980,ID,Idaho,0.69,0.704,0.679,446045,437431,633624,644004,0.015,817,0,0,817
1980-IL,1980,IL,Illinois,0.604,0.619,0.578,4868890,4749721,7868300,8216218,0.041,11899,0,0,11899
1980-IN,1980,IN,Indiana,0.583,0.592,0.577,2275433,2242033,3846321,3885473,0.008,6683,0,0,6683
1980-KS,1980,KS,Kansas,0.575,0,0.568,0,979795,1704420,1726471,0.011,2494,0,0,2494
1980-KY,1980,KY,Kentucky,0.505,0,0.499,0,1294627,2562572,2592185,0.005,3588,12400,8120,17908
1980-LA,1980,LA,Louisiana,0.54,0,0.532,0,1548591,2868792,2910776,0.011,8889,0,0,8889
1980-MA,1980,MA,Massachusetts,0.614,0.624,0.59,2566807,2524298,4110721,4281265,0.04,0,0,0,0
1980-MD,1980,MD,Maryland,0.52,0.525,0.5,1557709,1540496,2964704,3081409,0.027,7731,41661,6436,34998
1980-ME,1980,ME,Maine,0.654,0,0.646,0,523011,799746,810240,0.013,0,0,0,0
1980-MI,1980,MI,Michigan,0.613,0.624,0.6,3978647,3909725,6374955,6514790,0.019,15124,0,0,15124
1980-MN,1980,MN,Minnesota,0.712,0.721,0.7,2079451,2051980,2882406,2929927,0.01,2001,27000,1534,17035
1980-MO,1980,MO,Missouri,0.595,0,0.588,0,2099824,3529489,3571609,0.007,5726,17400,2395,16821
1980-MS,1980,MS,Mississippi,0.524,0,0.519,0,892620,1704163,1719825,0.004,3902,4864,2292,8626
1980-MT,1980,MT,Montana,0.656,0.671,0.651,371976,363952,554636,559165,0.007,739,0,0,739
1980-NC,1980,NC,North Carolina,0.441,0,0.434,0,1855833,4203817,4272156,0.007,15513,36467,6496,40243
