Year-State,Year,State,Democratic Candidates,Republican Candidates,Other Candidates,Total Candidates ,% Democratic ,%Republican ,% Other Candidates,,,,
2000-AL,2000,AL,1178271,1790402,136593,3105266,38%,57.66%,4.40%,,,,
2000-AK,2000,AK,124376,358260,77317,559953,22%,63.98%,13.81%,,,,
2000-AS,2000,AS,5500,,3505,9005,61%,0.00%,38.92%,,,,
2000-AZ,2000,AZ,1243190,2744563,406995,4394748,28%,62.45%,9.26%,,,,
2000-AR,2000,AR,778134,750086,26326,1554546,50%,48.25%,1.69%,,,,
2000-CA,2000,CA,17200888,12900577,1925670,32027135,54%,40.28%,6.01%,,,,
2000-CO,2000,CO,1234272,1852399,278579,3365250,37%,55.04%,8.28%,,,,
2000-CT,2000,CT,2344154,1604001,136121,4084276,57%,39.27%,3.33%,,,,
2000-DE,2000,DE,458122,491976,17712,967810,47%,50.83%,1.83%,,,,
2000-DC,2000,DC,330747,28331,18447,377525,88%,7.50%,4.89%,,,,
2000-FL,2000,FL,7877929,8469761,483523,16831213,47%,50.32%,2.87%,,,,
2000-GA,2000,GA,2034315,2918057,2489567,7441939,27%,39.21%,33.45%,,,,
2000-GU,2000,GU,29109,8173,,37282,78%,21.92%,0.00%,,,,
2000-HI,2000,HI,677874,333441,42683,1053998,64%,31.64%,4.05%,,,,
2000-ID,2000,ID,280982,669592,43882,994456,28%,67.33%,4.41%,,,,
2000-IL,2000,IL,5042700,3926727,166048,9135475,55%,42.98%,1.82%,,,,
2000-IN,2000,IN,2538420,3814334,148501,6501255,39%,58.67%,2.28%,,,,
2000-IA,2000,IA,1170159,1351695,69643,2591497,45%,52.16%,2.69%,,,,
2000-KS,2000,KS,727470,1280310,102817,2110597,34%,60.66%,4.87%,,,,
2000-KY,2000,KY,1200650,1697407,81539,2979596,40%,56.97%,2.74%,,,,
2000-LA,2000,LA,1152012,1674986,140829,2967827,39%,56.44%,4.75%,,,,
2000-ME,2000,ME,939740,927742,57606,1925088,49%,48.19%,2.99%,,,,
2000-MD,2000,MD,3436652,2385281,77209,5899142,58%,40.43%,1.31%,,,,
2000-MA,2000,MA,5473923,1556341,619515,7649779,72%,20.34%,8.10%,,,,
2000-MI,2000,MI,6410048,5734823,325051,12469922,51%,45.99%,2.61%,,,,
2000-MN,2000,MN,3584023,3150504,487416,7221943,50%,43.62%,6.75%,,,,
2000-MS,2000,MS,1214391,1696268,63808,2974467,41%,57.03%,2.15%,,,,
2000-MO,2000,MO,3438970,3468500,139796,7047266,49%,49.22%,1.98%,,,,
2000-MT,2000,MT,521527,659678,51916,1233121,42%,53.50%,4.21%,,,,
2000-NE,2000,NE,762944,1258352,51144,2072440,37%,60.72%,2.47%,,,,
2000-NV,2000,NV,743086,963146,88192,1794424,41%,53.67%,4.91%,,,,
2000-NH,2000,NH,505102,576749,43647,1125498,45%,51.24%,3.88%,,,,
2000-NJ,2000,NJ,4832327,4088610,270184,9191121,53%,44.48%,2.94%,,,,
2000-NM,2000,NM,950368,785951,39326,1775645,54%,44.26%,2.21%,,,,
2000-NY,2000,NY,11044633,7792744,588311,19425688,57%,40.12%,3.03%,,,,
2000-NC,2000,NC,2451292,3145969,93801,5691062,43%,55.28%,1.65%,,,,
2000-ND,2000,ND,422927,413172,25354,861453,49%,47.96%,2.94%,,,,
2000-OH,2000,OH,5853340,7221819,603651,13678810,43%,52.80%,4.41%,,,,
2000-OK,2000,OK,811231,1446157,64356,2321744,35%,62.29%,2.77%,,,,
2000-OR,2000,OR,1510707,1320675,142588,2973970,51%,44.41%,4.79%,,,,
2000-PA,2000,PA,6920102,6992146,290722,14202970,49%,49.23%,2.05%,,,,
2000-PR,2000,PR,,,1984816,1984816,0%,0.00%,100.00%,,,,
2000-RI,2000,RI,657778,442597,84401,1184776,56%,37.36%,7.12%,,,,
2000-SC,2000,SC,1090448,1515268,97282,2702998,40%,56.06%,3.60%,,,,
2000-SD,2000,SD,197125,421783,12122,631030,31%,66.84%,1.92%,,,,
2000-TN,2000,TN,2421972,3309377,127823,5859172,41%,56.48%,2.18%,,,,
2000-TX,2000,TX,7263112,10814141,592799,18670052,39%,57.92%,3.18%,,,,
2000-UT,2000,UT,750419,1446547,102246,2299212,33%,62.91%,4.45%,,,,
2000-VT,2000,VT,237292,360885,267997,866174,27%,41.66%,30.94%,,,,
2000-VA,2000,VA,3573867,3989949,315661,7879477,45%,50.64%,4.01%,,,,
2000-VI,2000,VI,19021,,5223,24244,78%,0.00%,21.54%,,,,
2000-WA,2000,WA,3692961,3303949,334313,7331223,50%,45.07%,4.56%,,,,
2000-WV,2000,WV,1185496,566879,79098,1831473,65%,30.95%,4.32%,,,,
2000-WI,2000,WI,3994091,3489470,161443,7645004,52%,45.64%,2.11%,,,,
2000-WY,2000,WY,168206,447417,28699,644322,26%,69.44%,4.45%,,,,
,,,,,,,,,,,,,
Year-State,Year,State,Democratic Candidates,Republican Candidates,Other Candidates,Total Candidates ,% Democratic ,%Republican ,% Other Candidates,,,,
2004-AL,2004,AL,693933,1176394,13122,1883449,36.84%,62.46%,0.70%,,,,
2004-AK,2004,AK,111025,190889,10684,312598,35.52%,61.07%,3.42%,,,,
2004-AZ,2004,AZ,893524,1104294,14767,2012585,44.40%,54.87%,0.73%,,,,
