YearState,ElectionYear,StateAbbriviation,StateName,PercentCitizenWhite,PercentCitizenBlack,PercentCitizenAsian,PercentCitizenHispanic,TotalVotingAgePopulation,TotalVotingAgeCitizen,TotalPercentCitizen,TotalRegisteredVoters,TotalPercentRegisteredCitizens,TotalTotalVotes,TotalPercentVotedCitizen,MaleVotingAgePopulation,MaleVotingAgeCitizen,MalePercentCitizen,MaleRegisteredVoters,MalePercentRegisteredCitizens,MaleTotalVotes,MalePercentVotedCitizen,FemaleVotingAgePopulation,FemaleVotingAgeCitizen,FemalePercentCitizen,FemaleRegisteredVoters,FemalePercentRegisteredCitizens,FemaleTotalVotes,FemalePercentVotedCitizen,WhiteNonHispanicVotingAgePopulation,WhiteNonHispanicVotingAgeCitizen,WhiteNonHispanicPercentCitizen,WhiteNonHispanicRegisteredVoters,WhiteNonHispanicPercentRegisteredCitizens,WhiteNonHispanicTotalVotes,WhiteNonHispanicPercentVotedCitizen,BlackVotingAgePopulation,BlackVotingAgeCitizen,BlackPercentCitizen,BlackRegisteredVoters,BlackPercentRegisteredCitizens,BlackTotalVotes,BlackPercentVotedCitizen,AsianPacificIslanderVotingAgePopulation,AsianPacificIslanderVotingAgeCitizen,AsianPacificIslanderPercentCitizen,AsianPacificIslanderRegisteredVoters,AsianPacificIslanderPercentRegisteredCitizens,AsianPacificIslanderTotalVotes,AsianPacificIslanderPercentVotedCitizen,HispanicVotingAgePopulation,HispanicVotingAgeCitizen,HispanicPercentCitizen,HispanicRegisteredVoters,HispanicPercentRegisteredCitizens,HispanicTotalVotes,HispanicPercentVotedCitizen
2000-USA,2000,USA,UNITED STATES,0.776595516,0.12024189,0.025315776,0.070608373,202609,186366,0.919830807,129549,0.695132159,110826,0.594668555,97087,88758,0.914210965,60356,0.680006309,51542,0.580702585,105523,97608,0.924992656,69193,0.708886567,59284,0.607368249,148035,144731,0.977680954,103588,0.715727798,89469,0.618174406,23587,22409,0.950057235,15156,0.676335401,12749,0.5689232,8041,4718,0.586742942,2470,0.523526918,2045,0.433446376,21598,13159,0.609269377,7546,0.57344783,5934,0.450946121
2000-AL,2000,AL,ALABAMA,0.729972162,0.26012991,0.001237241,0.004639654,3278,3233,0.986272117,2411,0.745746984,1953,0.604082895,1507,1481,0.98274718,1084,0.73193788,886,0.598244429,1771,1752,0.989271598,1326,0.756849315,1067,0.609018265,2370,2360,0.995780591,1776,0.752542373,1448,0.613559322,853,841,0.985932005,613,0.728894174,485,0.576694411,15,4,0.266666667,2,0.5,2,0.5,27,15,0.555555556,12,0.8,10,0.666666667
2000-AK,2000,AK,ALASKA,0.77443609,0.032581454,0.022556391,0.027568922,412,399,0.968446602,299,0.749373434,270,0.676691729,202,197,0.975247525,148,0.751269036,133,0.675126904,210,202,0.961904762,150,0.742574257,137,0.678217822,316,309,0.977848101,240,0.776699029,222,0.718446602,13,13,1,7,0.538461538,7,0.538461538,15,9,0.6,7,0.777777778,5,0.555555556,12,11,0.916666667,6,0.545454545,5,0.454545455
2000-AZ,2000,AZ,ARIZONA,0.728667306,0.032917865,0.021732183,0.196868009,3524,3129,0.887911464,1879,0.600511345,1644,0.525407478,1734,1528,0.881199539,885,0.579188482,773,0.505890052,1789,1601,0.894913359,994,0.620861961,871,0.544034978,2315,2280,0.98488121,1477,0.647807018,1319,0.578508772,106,103,0.971698113,51,0.495145631,35,0.339805825,132,68,0.515151515,21,0.308823529,17,0.25,910,616,0.676923077,304,0.493506494,247,0.400974026
2000-AR,2000,AR,ARKANSAS,0.802809292,0.177741761,0.005942734,0.008643976,1893,1851,0.977812995,1125,0.607779579,936,0.505672609,897,869,0.968784838,513,0.590333717,423,0.486766398,996,982,0.985943775,612,0.623217923,512,0.521384929,1489,1486,0.997985225,911,0.613055182,752,0.506056528,331,329,0.993957704,199,0.604863222,173,0.525835866,13,11,0.846153846,8,0.727272727,6,0.545454545,51,16,0.31372549,5,0.3125,3,0.1875
2000-CA,2000,CA,CALIFORNIA,0.63815093,0.080153249,0.096183899,0.17588345,24749,19837,0.801527334,13061,0.658416091,11489,0.579170237,11932,9554,0.800703989,6170,0.645802805,5463,0.571802386,12817,10283,0.802293829,6891,0.670135175,6027,0.586113002,13362,12659,0.947388116,8979,0.709297733,8071,0.637570108,1651,1590,0.963052695,1032,0.649056604,867,0.545283019,3027,1908,0.630327056,1007,0.527777778,848,0.444444444,6514,3489,0.535615597,1919,0.550014331,1597,0.457724276
2000-CO,2000,CO,COLORADO,0.822004205,0.038542397,0.00840925,0.122284513,3049,2854,0.936044605,1954,0.684653118,1633,0.572179397,1514,1383,0.91347424,959,0.693420101,805,0.582067968,1535,1471,0.958306189,995,0.676410605,829,0.563562203,2377,2346,0.986958351,1666,0.710144928,1412,0.601875533,115,110,0.956521739,74,0.672727273,54,0.490909091,53,24,0.452830189,6,0.25,2,0.083333333,478,349,0.730125523,199,0.570200573,158,0.452722063
2000-CT,2000,CT,CONNECTICUT,0.820902188,0.112996874,0.008932559,0.053595355,2415,2239,0.927122153,1510,0.674408218,1332,0.594908441,1146,1054,0.919720768,682,0.647058824,605,0.574003795,1268,1184,0.933753943,828,0.699324324,727,0.61402027,1894,1838,0.970432946,1274,0.693144723,1124,0.611534276,308,253,0.821428571,158,0.624505929,133,0.5256917,63,20,0.317460317,9,0.45,9,0.45,139,120,0.863309353,64,0.533333333,61,0.508333333
2000-DE,2000,DE,DELAWARE,0.758747698,0.200736648,0.005524862,0.027624309,567,543,0.957671958,385,0.709023941,352,0.64825046,267,253,0.947565543,173,0.683794466,155,0.612648221,299,290,0.969899666,211,0.727586207,197,0.679310345,424,412,0.971698113,305,0.740291262,277,0.672330097,110,109,0.990909091,67,0.614678899,64,0.587155963,9,3,0.333333333,3,1,3,1,20,15,0.75,8,0.533333333,8,0.533333333
2000-DC,2000,DC,DISTRICT OF COLUMBIA,0.297587131,0.667560322,0.010723861,0.024128686,407,373,0.916461916,295,0.790884718,267,0.715817694,191,173,0.905759162,130,0.751445087,114,0.658959538,216,200,0.925925926,165,0.825,153,0.765,120,111,0.925,97,0.873873874,88,0.792792793,254,249,0.980314961,188,0.75502008,170,0.682730924,8,4,0.5,3,0.75,3,0.75,26,9,0.346153846,7,0.777777778,6,0.666666667
2000-FL,2000,FL,FLORIDA,0.74546176,0.113778395,0.011010812,0.125483583,11633,10081,0.866586435,7043,0.698641008,6006,0.595774229,5533,4749,0.858304717,3228,0.679722047,2740,0.576963571,6100,5332,0.874098361,3816,0.71567892,3266,0.612528132,7789,7515,0.964822185,5391,0.717365269,4658,0.619827013,1406,1147,0.815789474,761,0.663469922,607,0.529206626,223,111,0.497757848,71,0.63963964,50,0.45045045,2162,1265,0.585106383,802,0.633992095,678,0.535968379
2000-GA,2000,GA,GEORGIA,0.640554655,0.33819557,0.008103728,0.012425716,5775,5553,0.961558442,3528,0.635332253,2827,0.509094183,2697,2584,0.958101594,1609,0.622678019,1270,0.491486068,3078,2969,0.964587394,1919,0.646345571,1557,0.524418996,3601,3557,0.987781172,2198,0.617936463,1787,0.502389654,1929,1878,0.973561431,1293,0.688498403,1007,0.536208733,72,45,0.625,7,0.155555556,4,0.088888889,169,69,0.408284024,26,0.376811594,26,0.376811594
2000-HI,2000,HI,HAWAII,0.237354086,0.02075227,0.71076524,0.031128405,855,771,0.901754386,402,0.521400778,340,0.440985733,413,372,0.900726392,183,0.491935484,154,0.413978495,442,399,0.902714932,219,0.54887218,186,0.466165414,193,183,0.948186528,110,0.601092896,99,0.540983607,16,16,1,7,0.4375,2,0.125,618,548,0.886731392,273,0.498175182,230,0.419708029,29,24,0.827586207,13,0.541666667,10,0.416666667
2000-ID,2000,ID,IDAHO,0.933856502,0.004484305,0.007847534,0.039237668,927,892,0.962243797,569,0.637892377,500,0.560538117,447,426,0.953020134,265,0.622065728,232,0.544600939,480,465,0.96875,304,0.653763441,268,0.576344086,839,833,0.992848629,551,0.661464586,489,0.587034814,4,4,1,0,0,0,0,14,7,0.5,3,0.428571429,2,0.285714286,58,35,0.603448276,10,0.285714286,7,0.2
2000-IL,2000,IL,ILLINOIS,0.767184035,0.16075388,0.020941119,0.04927322,8859,8118,0.916356248,5911,0.728135009,5030,0.619610742,4207,3812,0.906108866,2726,0.715110178,2310,0.605981112,4652,4306,0.925623388,3185,0.739665583,2720,0.63167673,6434,6228,0.967982592,4564,0.732819525,3842,0.616891458,1334,1305,0.97826087,995,0.762452107,894,0.685057471,306,170,0.555555556,75,0.441176471,65,0.382352941,771,400,0.518806744,262,0.655,218,0.545
2000-IN,2000,IN,INDIANA,0.911224727,0.066465257,0.003253544,0.014176156,4380,4303,0.982420091,3000,0.697188008,2564,0.595863351,2157,2121,0.983310153,1424,0.671381424,1217,0.57378595,2223,2183,0.982006298,1576,0.721942281,1347,0.61704077,3958,3921,0.990651844,2777,0.708237694,2368,0.603927569,286,286,1,168,0.587412587,148,0.517482517,35,14,0.4,11,0.785714286,11,0.785714286,79,61,0.772151899,29,0.475409836,21,0.344262295
