YearState,StateAbbreviation,StateName,ElectionYear,website_pollingplace,website_reg_status,website_precinct_ballot,website_absentee_status,website_provisional_status,reg_rej,prov_partic,prov_rej_all,abs_rej_all_ballots,abs_nonret,uocava_rej,uocava_nonret,eavs_completeness,post_election_audit,nonvoter_illness_onyear_pct,nonvoter_illness_offyear_pct,nonvoter_reg_onyear_pct,nonvoter_reg_offyear_pct,online_reg,wait,residual,pct_reg_of_vep_vrs,vep_turnout
2008-AK,AK,Alaska,2008,0,0,,,,0.0681019,0.0621388,0.0007813,0.0018604,0.1645482,0.0429646,0.1546564,1,1,0.15214236,,0.05210728,,0,5.7127,0.0034948,0.875693,0.6827726
2010-AK,AK,Alaska,2010,1,1,0,1,0,0.0820497,0.0497725,0.0049784,0.0021139,0.1559424,0.0424946,0.4828166,1,1,,0.0931353,,0.0352794,0,,,0.8354309,0.5255604
2012-AK,AK,Alaska,2012,1,1,0,1,0,0.0970629,0.0603541,0.00081,0.0026615,0.154525,0.082484,0.193297,1,1,0.12015536,,0.06383421,,0,3.656872,0.0039742,0.8684716,0.5918064
2014-AK,AK,Alaska,2014,1,1,0,1,0,0.0864959,0.0567391,0.0072061,0.003245,0.2494985,0.0503247,0.2566437,1,1,,0.0931197,,0.0201839,0,4.156598,,0.8269493,0.5438179
2016-AK,AK,Alaska,2016,1,1,1,1,0,0.1116463,0.0613138,0.0008383,0.0027097,0.131722,0.0793299,0.1236304,1,1,0.12192352,,0.05422933,,1,6.428843,0.0082947,0.875029,0.612886
2018-AK,AK,Alaska,2018,1,1,1,1,0,0.099038,0.0460685,0.0044246,0.0026367,0.165157,0.0251142,0.1603163,1,1,,0.1113286,,0.0223332,1,3.296339,,0.8660678,0.5462276
2008-AL,AL,Alabama,2008,0,0,,,,0.0004391,,,,,,0.3100032,0.4860942,0,0.2261501,,0.0759389,,0,14.2608,,0.8522075,0.6095284
2010-AL,AL,Alabama,2010,1,1,0,1,1,0.0010221,0.0023871,0.0012294,,,0.1917563,0.7643077,0.5942518,0,,0.1865659,,0.078653,0,,,0.8214131,0.4306084
2012-AL,AL,Alabama,2012,1,1,0,1,1,,0.0036719,0.0021163,,,,,0.5824811,0,0.23142886,,0.07635505,,0,11.30834,0.006219,0.863281,0.5889097
2014-AL,AL,Alabama,2014,1,1,0,1,1,0.0177437,0.0019377,0.000613,,,,0.8178264,0.6252103,0,,0.166047,,0.0646148,0,3.71631,,0.8018457,0.332124
2016-AL,AL,Alabama,2016,1,1,1,1,1,0.0160717,,,,0.10026,0.0392465,0.3813421,0.7435867,0,0.22291428,,0.05076856,,1,13.17053,0.0062881,0.8621275,0.5896026
2018-AL,AL,Alabama,2018,1,1,1,1,1,0.0171104,0.0052399,0.002139,0.0008075,0.0875211,0.0127389,0.3203463,0.9959073,0,,0.1679202,,0.0520435,1,7.469024,,0.8828068,0.472894
2008-AR,AR,Arkansas,2008,1,1,,,,,0.002031,,,,,0.2600094,0.7073488,0,0.17098345,,0.03797669,,0,21.48361,0.0085277,0.742385,0.5290489
2010-AR,AR,Arkansas,2010,1,1,1,1,0,0.0452559,0.0016515,0.0009079,0.0016142,0.0973715,0.0419463,0.5247525,0.977605,0,,0.1586142,,0.0254112,0,,,0.7192547,0.3754192
2012-AR,AR,Arkansas,2012,1,1,1,1,0,,0.0024149,0.0015701,0.0009498,0.0907552,0.1001417,0.2774451,0.9692506,0,0.17145225,,0.05128189,,0,12.88792,0.0084187,0.7594837,0.5095499
2014-AR,AR,Arkansas,2014,1,1,0,1,0,0.0139308,0.0019158,0.0010862,0.001238,0.0948457,,0.3543165,0.950947,0,,0.1407865,,0.022308,0,7.701295,,0.7472966,0.4014286
2016-AR,AR,Arkansas,2016,1,1,0,1,0,0.0337863,0.0041318,0.003051,0.0016215,0.079493,,0.1725993,0.9339136,0,0.20186481,,0.04649762,,0,15.3538,0.0093646,0.8370594,0.5277001
