State,Total Population,Male,Female,Under 5 Years,5-9 Years,10-14 Years,15-19 Years,20-24 Years,25-34 Years,35-44 Years,45-54 Years,55-59 Years,60-64 Years,65-74 Years,75-84 Years,85+ Years,Meadian age (years),18+ Years (All),18+ (Male),18+ (Female),21+ Years,62+ Years,65+ Years,65+ Years (Male),65+ Years (Female),One Race,White,Black or African American,American Indian and Alaska Native,Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Native Hawaiian and Other Pacific Islander,Native Hawaiian.,Guamanian or Chamorro,Samoan,Other Pacific Islander,Some other race,Two or more races,White,Black or African American . .,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total Population,Hispanic or Latino (of any race) .,Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,White alone,Total Population,In households,Householder,Spouse,Child,Own child under 18 years,Other relatives,Other relatives-Under 18,Nonrelatives,Unmarried partner,In group quarters,Institutionalized population,Noninstitutionalized population,Total households,Family households (families).,With own children under 18 years,Married-couple family,With own children under 18 years,"Female householder, no husband present",With own children under 18 years,Nonfamily households,Householder living alone,Householder 65 years and over,Households with individuals under 18 years,Households with individuals 65 years and over ,Average household size,Average family size,Total housing units.,Occupied housing units,Vacant housing units,"For seasonal, recreational, or occasional use",Homeowner vacancy rate (percent),Rental vacancy rate (percent).,Occupied housing units,Owner-occupied housing units,Renter-occupied housing units,Average household size of owner-occupied units,Average household size of renter-occupied units
Alabama,"4,447,100 ","2,146,504 ","2,300,596 ","295,992 ","315,345 ","320,252 ","324,580 ","306,865 ","603,015 ","685,512 ","600,209 ","225,450 ","190,082 ","316,748 ","195,749 ","67,301 ",35.80 ,"3,323,678 ","1,570,851 ","1,752,827 ","3,124,317 ","690,914 ","579,798 ","231,486 ","348,312 ","4,402,921 ","3,162,808 ","1,155,930 ","22,430 ","31,346 ","6,900 ","6,337 ","2,727 ","1,966 ","4,116 ","4,628 ","4,672 ","1,409 ",359 ,577 ,209 ,264 ,"28,998 ","44,179 ","3,199,953 ","1,168,998 ","44,449 ","39,458 ","3,169 ","38,201 ","4,447,100 ","75,830 ","44,522 ","6,322 ","2,354 ","22,632 ","4,371,270 ","3,125,819 ","4,447,100 ","4,332,380 ","1,737,080 ","906,916 ","1,302,505 ","989,799 ","240,463 ","113,123 ","145,416 ","58,537 ","114,720 ","65,363 ","49,357 ","1,737,080 ","1,215,968 ","561,458 ","906,916 ","391,185 ","246,466 ","141,057 ","521,112 ","453,898 ","169,738 ","626,857 ","418,608 ",2.49 ,3.01 ,"1,963,711 ","1,737,080 ","226,631 ","47,205 ",2.00 ,11.80 ,"1,737,080 ","1,258,705 ","478,375 ",2.57 ,2.30 
Alaska,"626,932 ","324,112 ","302,820 ","47,591 ","53,771 ","56,661 ","50,094 ","39,892 ","89,473 ","114,049 ","94,952 ","27,423 ","17,327 ","22,507 ","10,558 ","2,634 ",32.40 ,"436,215 ","226,111 ","210,104 ","410,474 ","45,300 ","35,699 ","16,724 ","18,975 ","592,786 ","434,534 ","21,787 ","98,043 ","25,116 ",723 ,"1,464 ","12,712 ","1,414 ","4,573 ",814 ,"3,416 ","3,309 ",695 ,227 ,"1,670 ",717 ,"9,997 ","34,146 ","463,999 ","27,147 ","119,241 ","32,686 ","5,515 ","15,151 ","626,932 ","25,852 ","13,334 ","2,649 ",553 ,"9,316 ","601,080 ","423,788 ","626,932 ","607,583 ","221,600 ","116,318 ","206,127 ","174,113 ","24,481 ","10,808 ","39,057 ","16,568 ","19,349 ","4,824 ","14,525 ","221,600 ","152,337 ","88,484 ","116,318 ","63,245 ","23,937 ","17,243 ","69,263 ","52,060 ","8,985 ","95,129 ","26,349 ",2.74 ,3.28 ,"260,978 ","221,600 ","39,378 ","21,474 ",1.90 ,7.80 ,"221,600 ","138,509 ","83,091 ",2.89 ,2.49 
Arizona,"5,130,632 ","2,561,057 ","2,569,575 ","382,386 ","389,869 ","378,211 ","367,722 ","362,860 ","742,665 ","768,804 ","627,904 ","238,675 ","203,697 ","363,841 ","235,473 ","68,525 ",34.20 ,"3,763,685 ","1,859,746 ","1,903,939 ","3,536,279 ","787,520 ","667,839 ","296,267 ","371,572 ","4,984,106 ","3,873,611 ","158,873 ","255,879 ","92,236 ","14,741 ","21,221 ","16,176 ","7,712 ","9,123 ","12,931 ","10,332 ","6,733 ","1,985 ","1,354 ","1,197 ","2,197 ","596,774 ","146,526 ","3,998,154 ","185,599 ","292,552 ","118,672 ","13,415 ","677,392 ","5,130,632 ","1,295,617 ","1,065,578 ","17,587 ","5,272 ","207,180 ","3,835,015 ","3,274,258 ","5,130,632 ","5,020,782 ","1,901,327 ","986,303 ","1,496,034 ","1,197,438 ","319,414 ","132,782 ","317,704 ","118,196 ","109,850 ","63,768 ","46,082 ","1,901,327 ","1,287,367 ","608,218 ","986,303 ","428,878 ","210,781 ","129,511 ","613,960 ","472,006 ","162,822 ","673,926 ","465,062 ",2.64 ,3.18 ,"2,189,189 ","1,901,327 ","287,862 ","141,965 ",2.10 ,9.20 ,"1,901,327 ","1,293,556 ","607,771 ",2.69 ,2.53 
Arkansas,"2,673,400 ","1,304,693 ","1,368,707 ","181,585 ","187,224 ","192,935 ","198,765 ","181,598 ","352,845 ","398,127 ","349,519 ","139,393 ","117,390 ","198,334 ","129,193 ","46,492 ",36.00 ,"1,993,031 ","955,418 ","1,037,613 ","1,873,359 ","442,588 ","374,019 ","154,428 ","219,591 ","2,637,656 ","2,138,598 ","418,950 ","17,808 ","20,220 ","3,104 ","3,126 ","2,489 ","1,036 ","1,550 ","3,974 ","4,941 ","1,668 ",295 ,231 ,176 ,966 ,"40,412 ","35,744 ","2,170,534 ","427,152 ","37,002 ","25,401 ","3,129 ","48,267 ","2,673,400 ","86,866 ","61,204 ","2,473 ",950 ,"22,239 ","2,586,534 ","2,100,135 ","2,673,400 ","2,599,492 ","1,042,696 ","566,401 ","759,757 ","601,711 ","131,635 ","62,167 ","99,003 ","40,543 ","73,908 ","45,152 ","28,756 ","1,042,696 ","732,261 ","334,604 ","566,401 ","237,174 ","126,561 ","76,774 ","310,435 ","266,585 ","108,644 ","371,331 ","263,521 ",2.49 ,2.99 ,"1,173,043 ","1,042,696 ","130,347 ","29,012 ",2.50 ,9.60 ,"1,042,696 ","723,535 ","319,161 ",2.54 ,2.40 
California,"33,871,648 ","16,874,892 ","16,996,756 ","2,486,981 ","2,725,880 ","2,570,822 ","2,450,888 ","2,381,288 ","5,229,062 ","5,485,341 ","4,331,635 ","1,467,252 ","1,146,841 ","1,887,823 ","1,282,178 ","425,657 ",33.30 ,"24,621,819 ","12,130,354 ","12,491,465 ","23,146,248 ","4,253,854 ","3,595,658 ","1,513,874 ","2,081,784 ","32,264,002 ","20,170,059 ","2,263,882 ","333,346 ","3,697,513 ","314,819 ","980,642 ","918,678 ","288,854 ","345,882 ","447,032 ","401,606 ","116,961 ","20,571 ","20,918 ","37,498 ","37,974 ","5,682,241 ","1,607,646 ","21,490,973 ","2,513,041 ","627,562 ","4,155,685 ","221,458 ","6,575,625 ","33,871,648 ","10,966,556 ","8,455,926 ","140,570 ","72,286 ","2,297,774 ","22,905,092 ","15,816,790 ","33,871,648 ","33,051,894 ","11,502,870 ","5,877,084 ","10,519,953 ","8,035,222 ","2,848,893 ","953,557 ","2,303,094 ","683,516 ","819,754 ","413,656 ","406,098 ","11,502,870 ","7,920,049 ","4,117,036 ","5,877,084 ","2,989,974 ","1,448,510 ","834,716 ","3,582,821 ","2,708,308 ","892,207 ","4,569,910 ","2,570,170 ",2.87 ,3.43 ,"12,214,549 ","11,502,870 ","711,679 ","236,857 ",1.40 ,3.70 ,"11,502,870 ","6,546,334 ","4,956,536 ",2.93 ,2.79 
Colorado,"4,301,261 ","2,165,983 ","2,135,278 ","297,505 ","308,428 ","311,497 ","307,238 ","306,238 ","664,027 ","736,823 ","614,125 ","194,722 ","144,585 ","226,310 ","141,547 ","48,216 ",34.30 ,"3,200,466 ","1,600,273 ","1,600,193 ","3,014,312 ","498,699 ","416,073 ","176,531 ","239,542 ","4,179,074 ","3,560,005 ","165,063 ","44,241 ","95,213 ","11,720 ","15,658 ","8,941 ","11,571 ","16,395 ","15,457 ","15,471 ","4,621 ","1,435 ","1,124 ",931 ,"1,131 ","309,931 ","122,187 ","3,665,638 ","190,717 ","79,689 ","120,779 ","10,153 ","364,846 ","4,301,261 ","735,601 ","450,760 ","12,993 ","3,701 ","268,147 ","3,565,660 ","3,202,880 ","4,301,261 ","4,198,306 ","1,658,238 ","858,671 ","1,217,836 ","1,004,792 ","188,318 ","70,555 ","275,243 ","91,224 ","102,955 ","52,741 ","50,214 ","1,658,238 ","1,084,461 ","543,588 ","858,671 ","404,866 ","158,979 ","102,113 ","573,777 ","435,778 ","116,235 ","585,387 ","292,763 ",2.53 ,3.09 ,"1,808,037 ","1,658,238 ","149,799 ","72,263 ",1.40 ,5.50 ,"1,658,238 ","1,116,137 ","542,101 ",2.64 ,2.30 
Connecticut,"3,405,565 ","1,649,319 ","1,756,246 ","223,344 ","244,144 ","241,587 ","216,627 ","187,571 ","451,640 ","581,049 ","480,807 ","176,961 ","131,652 ","231,565 ","174,345 ","64,273 ",37.40 ,"2,563,877 ","1,218,230 ","1,345,647 ","2,439,461 ","545,704 ","470,183 ","190,002 ","280,181 ","3,330,717 ","2,780,355 ","309,843 ","9,639 ","82,313 ","23,662 ","19,172 ","7,643 ","4,196 ","7,064 ","7,538 ","13,038 ","1,366 ",365 ,281 ,277 ,443 ,"147,201 ","74,848 ","2,835,974 ","339,078 ","24,488 ","95,368 ","4,076 ","186,234 ","3,405,565 ","320,323 ","23,484 ","194,443 ","7,101 ","95,295 ","3,085,242 ","2,638,845 ","3,405,565 ","3,297,626 ","1,301,670 ","676,467 ","1,002,981 ","772,790 ","156,013 ","52,203 ","160,495 ","68,873 ","107,939 ","55,256 ","52,683 ","1,301,670 ","881,170 ","419,285 ","676,467 ","307,126 ","157,411 ","91,114 ","420,500 ","344,224 ","132,061 ","451,411 ","326,743 ",2.53 ,3.08 ,"1,385,975 ","1,301,670 ","84,305 ","23,379 ",1.10 ,5.60 ,"1,301,670 ","869,729 ","431,941 ",2.67 ,2.25 
Delaware,"783,600 ","380,541 ","403,059 ","51,531 ","55,813 ","55,274 ","55,632 ","51,665 ","108,840 ","127,601 ","103,999 ","39,320 ","32,199 ","56,415 ","34,762 ","10,549 ",36.00 ,"589,013 ","280,643 ","308,370 ","553,669 ","120,444 ","101,726 ","42,866 ","58,860 ","770,567 ","584,773 ","150,666 ","2,731 ","16,259 ","5,280 ","4,128 ","2,018 ",614 ,"1,991 ",817 ,"1,411 ",283 ,41 ,89 ,35 ,118 ,"15,855 ","13,033 ","594,425 ","157,152 ","6,069 ","18,944 ",671 ,"20,391 ","783,600 ","37,277 ","12,986 ","14,005 ",932 ,"9,354 ","746,323 ","567,973 ","783,600 ","759,017 ","298,736 ","153,136 ","223,811 ","172,150 ","39,919 ","17,469 ","43,415 ","18,298 ","24,583 ","11,510 ","13,073 ","298,736 ","204,590 ","95,175 ","153,136 ","65,535 ","38,986 ","22,975 ","94,146 ","74,639 ","27,071 ","105,833 ","71,466 ",2.54 ,3.04 ,"343,072 ","298,736 ","44,336 ","25,977 ",1.50 ,8.20 ,"298,736 ","216,038 ","82,698 ",2.61 ,2.37 
Florida,"15,982,378 ","7,797,715 ","8,184,663 ","945,823 ","1,031,718 ","1,057,024 ","1,014,067 ","928,310 ","2,084,100 ","2,485,247 ","2,069,479 ","821,517 ","737,496 ","1,452,176 ","1,024,134 ","331,287 ",38.70 ,"12,336,038 ","5,926,729 ","6,409,309 ","11,736,378 ","3,245,806 ","2,807,597 ","1,216,647 ","1,590,950 ","15,606,063 ","12,465,029 ","2,335,505 ","53,541 ","266,256 ","70,740 ","46,368 ","54,310 ","10,897 ","19,139 ","33,190 ","31,612 ","8,625 ","2,131 ","2,319 ","1,232 ","2,943 ","477,107 ","376,315 ","12,734,292 ","2,471,730 ","117,880 ","333,013 ","23,998 ","697,074 ","15,982,378 ","2,682,715 ","363,925 ","482,027 ","833,120 ","1,003,643 ","13,299,663 ","10,458,509 ","15,982,378 ","15,593,433 ","6,337,929 ","3,192,266 ","4,171,924 ","3,200,461 ","954,061 ","345,104 ","937,253 ","369,622 ","388,945 ","248,350 ","140,595 ","6,337,929 ","4,210,760 ","1,779,586 ","3,192,266 ","1,215,197 ","759,000 ","437,680 ","2,127,169 ","1,687,303 ","710,025 ","1,986,554 ","1,943,478 ",2.46 ,2.98 ,"7,302,947 ","6,337,929 ","965,018 ","482,944 ",2.20 ,9.30 ,"6,337,929 ","4,441,799 ","1,896,130 ",2.49 ,2.39 
Georgia,"8,186,453 ","4,027,113 ","4,159,340 ","595,150 ","615,584 ","607,759 ","596,277 ","592,196 ","1,299,256 ","1,353,508 ","1,079,992 ","375,651 ","285,805 ","435,695 ","261,723 ","87,857 ",33.40 ,"6,017,219 ","2,915,524 ","3,101,695 ","5,646,535 ","948,821 ","785,275 ","311,231 ","474,044 ","8,072,265 ","5,327,281 ","2,349,542 ","21,737 ","173,170 ","46,132 ","27,446 ","11,036 ","7,242 ","28,745 ","29,016 ","23,553 ","4,246 ",866 ,"1,566 ",819 ,995 ,"196,289 ","114,188 ","5,412,371 ","2,393,425 ","53,197 ","199,812 ","9,689 ","241,298 ","8,186,453 ","435,227 ","275,288 ","35,532 ","12,536 ","111,871 ","7,751,226 ","5,128,661 ","8,186,453 ","7,952,631 ","3,006,369 ","1,548,800 ","2,439,098 ","1,899,303 ","522,651 ","218,208 ","435,713 ","145,743 ","233,822 ","126,023 ","107,799 ","3,006,369 ","2,111,647 ","1,051,302 ","1,548,800 ","732,734 ","435,410 ","258,006 ","894,722 ","710,523 ","210,409 ","1,174,114 ","563,830 ",2.65 ,3.14 ,"3,281,737 ","3,006,369 ","275,368 ","50,064 ",1.90 ,8.20 ,"3,006,369 ","2,029,154 ","977,215 ",2.71 ,2.51 
