YearState,ElectionYear,StateAbbreviation,StateName,VoterTurnout,VEPTotalBallotsCounted,VAPHighestOffice,TotalBallotsCounted,HighestOffice,VEP_VotingEligiblePopulation,VAP_VotingAgePopulation,PercentNonCitizen,Prison,Probation,Parole,TotalIneligibleFelon
2018-AL,2018,AL,Alabama,0.47,0.469,0.450090092,1721906,1719589,3666511,3820544,0.023,28680,52177,8562,66983
2018-AK,2018,AK,Alaska,0.548,0.545,0.513434557,285009,283134,519913,551451,0.039,4317,6621,1812,9903
2018-AZ,2018,AZ,Arizona,0.474,0.469,0.419884973,2409910,2384308,5082126,5678479,0.089,37582,77373,7500,89185
2018-AR,2018,AR,Arkansas,0.413,0.41,0.384100759,898793,891509,2176226,2321029,0.037,17242,30881,23792,58636
2018-CA,2018,CA,California,0.493,0.483,0.406544082,12712542,12464235,25782389,30659000,0.155,130390,0,0,130390
2018-CO,2018,CO,Colorado,0.614,0.6,0.558235832,2583580,2525062,4210816,4523289,0.063,18576,0,10186,28762
2018-CT,2018,CT,Connecticut,0.548,0.542,0.495654227,1421953,1406803,2597134,2838275,0.079,14475,0,3379,17854
2018-DE,2018,DE,Delaware,0.512,0.508,0.469162192,365467,362592,713781,772850,0.056,6254,15395,387,15416
2018-DC,2018,DC,District of Columbia,0.437,0.424,0.388210167,231482,224658,529560,578702,0.085,0,0,0,0
2018-FL,2018,FL,Florida,0.543,0.536,0.474581898,8318824,8220561,15333067,17321691,0.102,92847,214066,4566,219431
2018-GA,2018,GA,Georgia,0.541,0.539,0.483416418,3949905,3939328,7303056,8148933,0.066,51092,410964,22386,307727
2018-HI,2018,HI,Hawaii,0.395,0.387,0.350337032,398657,390843,1009561,1115620,0.09,5474,0,0,5474
2018-ID,2018,ID,Idaho,0.486,0.48,0.448139292,612536,605131,1260630,1350319,0.043,7949,32409,5054,31476
2018-IL,2018,IL,Illinois,0.515,0.508,0.464108623,4635541,4570842,8999121,9848647,0.082,42017,0,0,42017
2018-IN,2018,IN,Indiana,0.465,0.46,0.440920295,2308258,2282565,4960307,5176820,0.037,24948,0,0,24948
2018-IA,2018,IA,Iowa,0.579,0.576,0.546104306,1334279,1327638,2303627,2431107,0.039,8888,29254,6051,31614
2018-KS,2018,KS,Kansas,0.511,0.508,0.476422725,1060000,1055566,2076345,2215608,0.052,9613,16654,4830,23936
2018-KY,2018,KY,Kentucky,0.487,0.474,0.452597958,1612353,1569798,3310636,3468416,0.026,22868,48457,15383,65871
2018-LA,2018,LA,Louisiana,0.451,0.434,0.410245456,1519405,1460585,3367670,3560271,0.029,35543,40174,30907,89349
2018-ME,2018,ME,Maine,0.599,0.588,0.577970209,646013,634409,1078321,1097650,0.018,0,0,0,0
2018-MD,2018,MD,Maryland,0.542,0.535,0.488700153,2335128,2304512,4311082,4715595,0.082,19382,0,0,19382
2018-MA,2018,MA,Massachusetts,0.546,0.537,0.488081437,2752665,2707090,5037366,5546390,0.09,8780,0,0,8780
2018-MI,2018,MI,Michigan,0.577,0.565,0.541482073,4341340,4250585,7519962,7849909,0.037,40502,0,0,40502
2018-MN,2018,MN,Minnesota,0.642,0.638,0.597390041,2611365,2596879,4070605,4347041,0.047,10158,96852,7075,72439
2018-MS,2018,MS,Mississippi,0.438,0.427,0.410976253,961025,936215,2193563,2278027,0.018,19150,29067,8645,44363
2018-MO,2018,MO,Missouri,0.533,0.533,0.511599384,2442306,2442289,4583152,4773831,0.024,31956,43799,17792,74713
2018-MT,2018,MT,Montana,0.613,0.607,0.598279122,509213,504384,830480,843058,0.01,3795,0,0,3795
2018-NE,2018,NE,Nebraska,0.515,0.509,0.47796841,706652,698417,1372894,1461220,0.051,5079,13489,1088,13856
2018-NV,2018,NV,Nevada,0.465,0.463,0.40448636,975980,972132,2099842,2403374,0.115,13742,13724,5261,26826
2018-NH,2018,NH,New Hampshire,0.54,0.533,0.51801373,580568,573608,1075753,1107322,0.026,2818,0,0,2818
2018-NJ,2018,NJ,New Jersey,0.535,0.522,0.456297419,3248642,3169310,6074050,6945711,0.109,18504,140589,15128,113768
2018-NM,2018,NM,New Mexico,0.468,0.465,0.428787264,701654,696459,1498900,1624253,0.067,6914,12714,2780,16941
2018-NY,2018,NY,New York,0.457,0.448,0.396083145,6230959,6104477,13620990,15412110,0.11,46416,0,44426,90842
2018-NC,2018,NC,North Carolina,0.49,0.482,0.449135909,3755778,3693104,7663854,8222687,0.057,34357,82466,12726,94089
2018-ND,2018,ND,North Dakota,0.587,0.579,0.559825326,330598,326138,562854,582571,0.031,1791,0,0,1791
2018-OH,2018,OH,Ohio,0.509,0.502,0.485728168,4496834,4429582,8832187,9119467,0.026,51666,0,0,51666
2018-OK,2018,OK,Oklahoma,0.421,0.419,0.393951781,1190000,1186385,2828577,3011498,0.045,26691,33562,1895,47716
2018-OR,2018,OR,Oregon,0.612,0.597,0.55485346,1914923,1866997,3126630,3364847,0.066,15166,0,0,15166
2018-PA,2018,PA,Pennsylvania,0.517,0.514,0.492776104,5043029,5012555,9745275,10172074,0.037,48098,0,0,48098
2018-RI,2018,RI,Rhode Island,0.475,0.47,0.440358329,381267,376738,802033,855526,0.059,3038,0,0,3038
2018-SC,2018,SC,South Carolina,0.445,0.44,0.42086276,1726527,1707569,3881840,4057306,0.033,20350,32634,4347,43298
2018-SD,2018,SD,South Dakota,0.531,0.528,0.506725942,341048,339214,642257,669423,0.031,3744,0,2687,6431
2018-TN,2018,TN,Tennessee,0.447,0.442,0.420400637,2267428,2243740,5073296,5337147,0.035,27906,62609,12092,75685
2018-TX,2018,TX,Texas,0.456,0.456,0.385584114,8375000,8371655,18377841,21711618,0.131,155327,374285,111287,479956
2018-UT,2018,UT,Utah,0.506,0.498,0.464949566,1082972,1065630,2140159,2291926,0.064,5846,0,0,5846
2018-VT,2018,VT,Vermont,0.557,0.548,0.537007467,278230,274087,499907,510397,0.021,0,0,0,0
2018-VA,2018,VA,Virginia,0.544,0.543,0.501112687,3363505,3351373,6177626,6687863,0.065,36959,60821,1650,73277
2018-WA,2018,WA,Washington,0.583,0.574,0.51596202,3133448,3086168,5373202,5981386,0.088,18335,89317,11322,80568
2018-WV,2018,WV,West Virginia,0.425,0.417,0.409825736,597149,586034,1404206,1429959,0.008,7137,6523,3550,14405
2018-WI,2018,WI,Wisconsin,0.614,0.614,0.58579391,2675000,2673308,4354527,4563564,0.031,22889,44489,20401,68649
2018-WY,2018,WY,Wyoming,0.479,0.474,0.45635753,205275,203420,428898,445747,0.025,2323,4666,842,5825
