YearState,ElectionYear,StateAbbreviation,DemocratCandidateVotes,RepublicanCandidateVotes,OtherCandidateVotes,TotalVotes,PercentDemocrat,PercentRepublican ,PercentOther,FirstPlace,SecondPlace,Competivness
2010-AL,2010,AL,934576,1882626,36044,2853246,0.3275483,0.659819,0.0126326,0.659819,0.327548343,0.3322707
2010-AK,2010,AK,137651,266223,107999,511873,0.2689163,0.5200958,0.2109879,0.5200958,0.268916313,0.2511795
2010-AS,2010,AS,6182,4422,356,10960,0.5640511,0.4034672,0.0324818,0.5640511,0.403467153,0.1605839
2010-AZ,2010,AZ,1303848,1906125,196656,3406629,0.3827385,0.5595341,0.0577274,0.5595341,0.382738478,0.1767956
2010-AR,2010,AR,606131,887040,60911,1554082,0.3900251,0.5707807,0.0391942,0.5707807,0.390025108,0.1807556
2010-CA,2010,CA,10366648,8412974,868111,19647733,0.5276257,0.4281906,0.0441838,0.5276257,0.42819057,0.0994351
2010-CO,2010,CO,1658754,1710846,176535,3546135,0.4677639,0.4824537,0.0497824,0.4824537,0.467763918,0.0146898
2010-CT,2010,CT,1240151,956317,94849,2291317,0.5412394,0.4173656,0.041395,0.5412394,0.417365646,0.1238737
2010-DE,2010,DE,347555,248495,16988,613038,0.5669388,0.4053501,0.0277112,0.5669388,0.405350076,0.1615887
2010-DC,2010,DC,117990,8109,6557,132656,0.8894434,0.061128,0.0494286,0.8894434,0.06112803,0.8283153
2010-FL,2010,FL,2946536,5649968,1932022,10528526,0.2798622,0.5366343,0.1835036,0.5366343,0.279862157,0.2567721
2010-GA,2010,GA,1936863,3018046,69029,5023938,0.3855269,0.6007331,0.01374,0.6007331,0.385526852,0.2152063
2010-GU,2010,GU,35919,0,1502,37421,0.9598621,0,0.0401379,0.9598621,0.04013789,0.9197242
2010-HI,2010,HI,503658,209066,17980,730704,0.6892777,0.2861159,0.0246064,0.6892777,0.286115855,0.4031619
2010-ID,2010,ID,262941,583652,50081,896674,0.2932404,0.6509077,0.055852,0.6509077,0.293240353,0.3576673
2010-IL,2010,IL,5237280,5176443,532893,10946616,0.4784383,0.4728807,0.0486811,0.4784383,0.47288066,0.0055576
2010-IN,2010,IN,1438117,2039702,198091,3675910,0.3912275,0.5548836,0.053889,0.5548836,0.391227478,0.1636561
2010-IA,2010,IA,851560,1315629,55465,2222654,0.3831276,0.591918,0.0249544,0.591918,0.383127558,0.2087905
2010-KS,2010,KS,495963,1115311,61947,1673221,0.2964121,0.6665653,0.0370226,0.6665653,0.29641213,0.3701531
2010-KY,2010,KY,1106371,1600075,3948,2710394,0.4081956,0.5903478,0.0014566,0.5903478,0.408195635,0.1821521
2010-LA,2010,LA,787793,1390801,122347,2300941,0.3423786,0.6044488,0.0531726,0.6044488,0.342378618,0.2620702
2010-ME,2010,ME,316156,248170,42,564368,0.5601948,0.4397308,0.0000744,0.5601948,0.439730814,0.120464
2010-MD,2010,MD,2244587,1329912,84831,3659330,0.6133874,0.3634305,0.0231821,0.6133874,0.363430464,0.249957
2010-MA,2010,MA,1335738,808305,80212,2224255,0.6005328,0.3634048,0.0360624,0.6005328,0.363404825,0.2371279
2010-MI,2010,MI,1415212,1671707,107982,3194901,0.4429596,0.5232422,0.0337982,0.5232422,0.442959578,0.0802826
2010-MN,2010,MN,1002026,970741,117824,2090591,0.4793027,0.4643381,0.0563592,0.4793027,0.464338075,0.0149647
2010-MS,2010,MS,350695,423579,14275,788549,0.4447346,0.5371626,0.0181029,0.5371626,0.444734569,0.092428
2010-MO,2010,MO,1497800,2157450,209324,3864574,0.3875718,0.5582633,0.0541648,0.5582633,0.387571826,0.1706915
2010-MT,2010,MT,121954,217696,20691,360341,0.3384405,0.6041389,0.0574206,0.6041389,0.338440533,0.2656983
2010-NE,2010,NE,137524,327986,20036,485546,0.2832358,0.6754993,0.0412649,0.6754993,0.28323578,0.3922636
2010-NV,2010,NV,680620,678730,64842,1424192,0.477899,0.476572,0.045529,0.477899,0.476571979,0.0013271
2010-NH,2010,NH,368108,503483,34083,905674,0.4064465,0.5559208,0.0376327,0.5559208,0.40644647,0.1494743
2010-NJ,2010,NJ,1024730,1055299,41555,2121584,0.4830023,0.4974109,0.0195868,0.4974109,0.483002323,0.0144086
2010-NM,2010,NM,308473,289217,0,597690,0.5161087,0.4838913,0,0.5161087,0.483891315,0.0322174
2010-NY,2010,NY,7618622,4225756,1946939,13791317,0.5524216,0.306407,0.1411714,0.5524216,0.306406995,0.2460146
2010-NC,2010,NC,2349709,2898959,73960,5322628,0.4414566,0.5446481,0.0138954,0.5446481,0.441456551,0.1031915
2010-ND,2010,ND,159497,311491,4961,475949,0.3351136,0.654463,0.0104234,0.654463,0.335113636,0.3193493
2010-MP,2010,MP,1707,2049,7596,11352,0.15037,0.1804968,0.6691332,0.6691332,0.180496829,0.4886364
2010-OH,2010,OH,3114409,4221817,304146,7640372,0.4076253,0.5525669,0.0398077,0.5525669,0.407625309,0.1449416
2010-OK,2010,OK,487780,1238044,84306,1810130,0.2694724,0.6839531,0.0465746,0.6839531,0.269472358,0.4144807
2010-OR,2010,OR,1558876,1223206,89862,2871944,0.5427947,0.4259157,0.0312896,0.5427947,0.425915686,0.116879
2010-PA,2010,PA,3830918,4063090,40054,7934062,0.4828445,0.5121072,0.0050484,0.5121072,0.482844475,0.0292627
2010-RI,2010,RI,185711,126951,22405,335067,0.5542503,0.3788824,0.0668672,0.5542503,0.378882432,0.1753679
2010-SC,2010,SC,901921,1564703,192359,2658983,0.3391977,0.5884592,0.0723431,0.5884592,0.339197731,0.2492615
2010-SD,2010,SD,146589,381650,19134,547373,0.2678046,0.6972394,0.0349561,0.6972394,0.267804587,0.4294348
2010-TN,2010,TN,541527,955078,62524,1559129,0.3473266,0.6125715,0.0401019,0.6125715,0.347326616,0.2652449
2010-TX,2010,TX,1450197,3058228,237188,4745613,0.3055869,0.6444327,0.0499805,0.6444327,0.305586865,0.3388458
2010-UT,2010,UT,425921,781148,67255,1274324,0.3342329,0.6129901,0.052777,0.6129901,0.334232895,0.2787572
2010-VT,2010,VT,305287,149102,19310,473699,0.6444747,0.3147611,0.0407643,0.6444747,0.314761061,0.3297136
2010-VI,2010,VI,19844,2329,5493,27666,0.7172703,0.0841828,0.198547,0.7172703,0.198546953,0.5187233
2010-VA,2010,VA,911116,1186098,92627,2189841,0.4160649,0.5416366,0.0422985,0.5416366,0.416064911,0.1255717
2010-WA,2010,WA,2611432,2331330,47741,4990503,0.5232803,0.4671533,0.0095664,0.5232803,0.467153311,0.056127
2010-WV,2010,WV,511215,513098,20008,1044321,0.489519,0.4913221,0.0191589,0.4913221,0.489519027,0.0018031
2010-WI,2010,WI,1959648,2291760,60405,4311813,0.4544835,0.5315073,0.0140092,0.5315073,0.454483532,0.0770237
2010-WY,2010,WY,45768,131661,9540,186969,0.2447892,0.7041863,0.0510245,0.7041863,0.244789243,0.459397
2014-AL,2014,AL,331764,1500139,67067,1898970,0.1747073,0.7899751,0.0353176,0.7899751,0.174707341,0.6152678
