Year,ICPSR State Code,Alphanumeric State Code,StateName,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2014,0,0,United States,0.367,0.36,0.332,83262122,81687059,227157964,245712915,0.08400000,1493706,2298993,548576,3329718,5345814
2014,41,1,Alabama,0.332,0.329,0.315,1191274,1180413,3588783,3751844,0.02500000,31691,53640,8097,69826,
2014,81,2,Alaska,0.548,0.542,0.51,285431,282382,520562,553473,0.03900000,5216,7077,2210,11389,
2014,61,3,Arizona,0.341,0.334,0.295,1537671,1506416,4510186,5110890,0.10100000,37516,73232,7502,86028,
2014,42,4,Arkansas,0.403,0.401,0.375,852642,848592,2117881,2263040,0.04000000,17756,28192,21743,55287,
2014,71,5,California,0.307,0.299,0.247,7513972,7317581,24440416,29646675,0.16800000,136088,0,87104,223192,
2014,62,6,Colorado,0.547,0.537,0.494,2080071,2041020,3800664,4128890,0.07200000,19121,0,10067,29188,
2014,1,7,Connecticut,0.425,0.423,0.385,1096556,1089880,2577311,2828791,0.08200000,16113,0,2564,18677,
2014,11,8,Delaware,0.349,0.343,0.318,238110,234038,681526,735156,0.05100000,6625,15665,676,16073,
2014,55,9,District of Columbia,0.357,0.353,0.32,177176,175071,495899,547228,0.09400000,0,0,0,0,
2014,43,10,Florida,0.433,0.428,0.376,6026802,5951561,13914216,15816663,0.10600000,95671,227087,4519,227359,
2014,44,11,Georgia,0.386,0.382,0.338,2596947,2567761,6725041,7601982,0.07100000,50499,471067,25547,339844,
2014,82,12,Hawaii,0.365,0.362,0.329,369554,366125,1012123,1113693,0.08600000,5721,0,0,5721,
2014,63,13,Idaho,0.398,0.393,0.365,445307,439830,1119882,1205611,0.04600000,7901,33450,4217,30850,
2014,21,14,Illinois,0.408,0.402,0.366,3680417,3627690,9028752,9922399,0.08500000,46465,0,0,46465,
2014,22,15,Indiana,0.287,0.278,0.267,1387622,1341814,4829510,5033872,0.03500000,28638,0,0,28638,
2014,31,16,Iowa,0.503,0.498,0.473,1142284,1129700,2269179,2386733,0.03600000,8686,29929,5769,31215,
