State,total_ballots_counted,Voting_Eligible_Population,Voting_Eligibile_Population
Alabama,1191274,3588783,"3,588,783"
Alaska,285431,520562,"520,562"
Arizona,1537671,4510186,"4,510,186"
Arkansas,852642,2117881,"2,117,881"
California,7513972,24440416,"24,440,416"
Colorado,2080071,3800664,"3,800,664"
Connecticut,1096556,2577311,"2,577,311"
Delaware,238110,681526,"681,526"
District of Columbia,177176,495899,"495,899"
Florida,6026802,13914216,"13,914,216"
Georgia,2596947,6725041,"6,725,041"
Hawaii,369554,1012123,"1,012,123"
Idaho,445307,1119882,"1,119,882"
Illinois,3680417,9028752,"9,028,752"
Indiana,1387622,4829510,"4,829,510"
Iowa,1142284,2269179,"2,269,179"
Kansas,887023,2048164,"2,048,164"
Kentucky,1459409,3247300,"3,247,300"
Louisiana,1503975,3349433,"3,349,433"
Maine,616996,1051557,"1,051,557"
Maryland,1745104,4154546,"4,154,546"
Massachusetts,2186789,4896296,"4,896,296"
Michigan,3188956,7383958,"7,383,958"
Minnesota,1992613,3935121,"3,935,121"
Mississippi,0,2181131,"2,181,131"
Missouri,1509025,4493722,"4,493,722"
Montana,373831,787748,"787,748"
Nebraska,552115,1334453,"1,334,453"
Nevada,552546,1867644,"1,867,644"
New Hampshire,495565,1025862,"1,025,862"
New Jersey,1955042,6014127,"6,014,127"
New Mexico,0,1449503,"1,449,503"
New York,3930310,13553426,"13,553,426"
North Carolina,2939767,7143737,"7,143,737"
North Dakota,255128,567221,"567,221"
Ohio,3149876,8701243,"8,701,243"
Oklahoma,825607,2755091,"2,755,091"
Oregon,1541782,2887517,"2,887,517"
Pennsylvania,3535576,9689491,"9,689,491"
Rhode Island,329212,776286,"776,286"
South Carolina,1261611,3584461,"3,584,461"
South Dakota,282291,630989,"630,989"
Tennessee,1430117,4799476,"4,799,476"
Texas,0,16675420,"16,675,420"
Utah,577973,1905801,"1,905,801"
Vermont,202445,495884,"495,884"
Virginia,2194346,5962456,"5,962,456"
Washington,2123901,4928407,"4,928,407"
West Virginia,462864,1447652,"1,447,652"
Wisconsin,2422248,4260427,"4,260,427"
Wyoming,171153,431434,"431,434"
United States,130292355,222474111,"222,474,111"
Alabama,0,3539217,"3,539,217"
Alaska,301694,511792,"511,792"
Arizona,2323579,4387900,"4,387,900"
Arkansas,1078548,2109847,"2,109,847"
California,13202158,23681837,"23,681,837"
Colorado,2596173,3675871,"3,675,871"
Connecticut,1560640,2543202,"2,543,202"
Delaware,0,663967,"663,967"
District of Columbia,294254,477582,"477,582"
Florida,8538264,13495057,"13,495,057"
Georgia,3919355,6606607,"6,606,607"
Hawaii,437159,982902,"982,902"
Idaho,666290,1091410,"1,091,410"
Illinois,5279752,8899143,"8,899,143"
Indiana,2663368,4755291,"4,755,291"
Iowa,1589951,2251748,"2,251,748"
Kansas,1182771,2030686,"2,030,686"
Kentucky,1815843,3229185,"3,229,185"
Louisiana,2014548,3311626,"3,311,626"
Maine,724758,1046008,"1,046,008"
Maryland,2734062,4063582,"4,063,582"
Massachusetts,3184196,4809675,"4,809,675"
Michigan,4780701,7312725,"7,312,725"
Minnesota,2950780,3861598,"3,861,598"
Mississippi,0,2166825,"2,166,825"
Missouri,0,4432957,"4,432,957"
Montana,491966,774476,"774,476"
Nebraska,804245,1316915,"1,316,915"
Nevada,1016664,1800969,"1,800,969"
New Hampshire,718700,1013420,"1,013,420"
New Jersey,3683638,5918182,"5,918,182"
New Mexico,786522,1436363,"1,436,363"
New York,7128852,13324107,"13,324,107"
North Carolina,4542488,6947954,"6,947,954"
North Dakota,325564,539164,"539,164"
Ohio,5632423,8649495,"8,649,495"
Oklahoma,0,2713268,"2,713,268"
Oregon,1820507,2836101,"2,836,101"
Pennsylvania,0,9651432,"9,651,432"
Rhode Island,0,768918,"768,918"
South Carolina,1981516,3486838,"3,486,838"
South Dakota,368270,613190,"613,190"
Tennessee,2478870,4736084,"4,736,084"
Texas,0,16119973,"16,119,973"
Utah,1028786,1833339,"1,833,339"
Vermont,301793,493355,"493,355"
Virginia,3888186,5834676,"5,834,676"
Washington,3172939,4822060,"4,822,060"
West Virginia,0,1447066,"1,447,066"
Wisconsin,0,4209370,"4,209,370"
Wyoming,250701,425142,"425,142"
United States,90912015,217551109,"217,551,109"
Alabama,1503232,3472582,"3,472,582"
Alaska,261128,493764,"493,764"
Arizona,1750840,4209544,"4,209,544"
Arkansas,789773,2081156,"2,081,156"
California,10529134,22946053,"22,946,053"
Colorado,1828323,3533054,"3,533,054"
Connecticut,1153872,2512981,"2,512,981"
Delaware,316754,646969,"646,969"
District of Columbia,135846,458619,"458,619"
Florida,5473787,12961184,"12,961,184"
Georgia,2623035,6464845,"6,464,845"
Hawaii,386302,959531,"959,531"
Idaho,459079,1069446,"1,069,446"
Illinois,3792770,8798829,"8,798,829"
Indiana,1791832,4697111,"4,697,111"
Iowa,1133429,2234516,"2,234,516"
Kansas,857658,2011497,"2,011,497"
Kentucky,1417995,3198093,"3,198,093"
Louisiana,1298649,3249524,"3,249,524"
Maine,580584,1038201,"1,038,201"
Maryland,1868179,4001034,"4,001,034"
Massachusetts,2319963,4693670,"4,693,670"
Michigan,3268217,7245281,"7,245,281"
Minnesota,2123369,3802677,"3,802,677"
Mississippi,0,2129334,"2,129,334"
Missouri,1997271,4366435,"4,366,435"
Montana,367096,758653,"758,653"
Nebraska,503514,1301483,"1,301,483"
Nevada,723515,1747288,"1,747,288"
New Hampshire,461423,999918,"999,918"
New Jersey,2200974,5834037,"5,834,037"
New Mexico,630013,1408872,"1,408,872"
New York,4763899,13135048,"13,135,048"
North Carolina,2700706,6785463,"6,785,463"
