Year-State,Year,SateAbbreviation,StateName,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon
2014-AL,2014,AL,Alabama,0.332,0.32899999999999996,0.315,1191274.0,1180413.0,3588783,3751844,0.025,31691,53640,8097,69826
2014-AK,2014,AK,Alaska,0.5479999999999999,0.542,0.51,285431.0,282382.0,520562,553473,0.039,5216,7077,2210,11389
2014-AZ,2014,AZ,Arizona,0.341,0.33399999999999996,0.295,1537671.0,1506416.0,4510186,5110890,0.10099999999999999,37516,73232,7502,86028
2014-AR,2014,AR,Arkansas,0.40299999999999997,0.401,0.375,852642.0,848592.0,2117881,2263040,0.04,17756,28192,21743,55287
2014-CA,2014,CA,California,0.307,0.299,0.247,7513972.0,7317581.0,24440416,29646675,0.168,136088,0,87104,223192
2014-CO,2014,CO,Colorado,0.547,0.537,0.494,2080071.0,2041020.0,3800664,4128890,0.07200000000000001,19121,0,10067,29188
2014-CT,2014,CT,Connecticut,0.425,0.423,0.385,1096556.0,1089880.0,2577311,2828791,0.08199999999999999,16113,0,2564,18677
2014-DE,2014,DE,Delaware,0.349,0.34299999999999997,0.318,238110.0,234038.0,681526,735156,0.051,6625,15665,676,16073
2014-FL,2014,FL,Florida,0.433,0.428,0.376,6026802.0,5951561.0,13914216,15816663,0.106,95671,227087,4519,227359
2014-GA,2014,GA,Georgia,0.386,0.382,0.33799999999999997,2596947.0,2567761.0,6725041,7601982,0.071,50499,471067,25547,339844
2014-HI,2014,HI,Hawaii,0.365,0.36200000000000004,0.32899999999999996,369554.0,366125.0,1012123,1113693,0.086,5721,0,0,5721
2014-ID,2014,ID,Idaho,0.39799999999999996,0.39299999999999996,0.365,445307.0,439830.0,1119882,1205611,0.046,7901,33450,4217,30850
2014-IL,2014,IL,Illinois,0.408,0.402,0.366,3680417.0,3627690.0,9028752,9922399,0.085,46465,0,0,46465
2014-IN,2014,IN,Indiana,0.287,0.278,0.267,1387622.0,1341814.0,4829510,5033872,0.035,28638,0,0,28638
2014-IA,2014,IA,Iowa,0.503,0.498,0.473,1142284.0,1129700.0,2269179,2386733,0.036000000000000004,8686,29929,5769,31215
2014-KS,2014,KS,Kansas,0.433,0.425,0.39799999999999996,887023.0,869502.0,2048164,2184712,0.052000000000000005,9326,16328,4051,22521
2014-KY,2014,KY,Kentucky,0.449,0.442,0.42200000000000004,1459409.0,1435868.0,3247300,3406506,0.027000000000000003,21402,54107,16729,68431
2014-LA,2014,LA,Louisiana,0.449,0.439,0.415,1503975.0,1472039.0,3349433,3545845,0.03,37881,40979,29619,90448
2014-ME,2014,ME,Maine,0.5870000000000001,0.581,0.57,616996.0,611255.0,1051557,1071521,0.019,0,0,0,0
2014-MD,2014,MD,Maryland,0.42,0.41700000000000004,0.373,1745104.0,1733177.0,4154546,4645171,0.08900000000000001,20388,79539,11537,76467
2014-MA,2014,MA,Massachusetts,0.447,0.441,0.402,2186789.0,2158326.0,4896296,5369534,0.086,10014,0,0,10014
2014-MI,2014,MI,Michigan,0.43200000000000005,0.42700000000000005,0.41,3188956.0,3156531.0,7383958,7700110,0.035,42900,0,0,42900
2014-MN,2014,MN,Minnesota,0.506,0.504,0.47200000000000003,1992613.0,1981511.0,3935121,4194166,0.045,10003,97661,6642,71335
