Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010"
Alabama,4903185,4780125,0.026,4779736,0.06,0.222,0.173,0.517,0.691,0.268,0.007,0.015,0.001,0.018,0.046,0.653,335599,0.035,2284847,0.686,137200,1174,358,772,17748,1860269,2.55,0.861,0.052,0.834,0.733,0.858,0.249,0.116,0.117,0.571,0.523,7576462,26039632,124809759,57746565,58564965,12145,24.7,48486,26846,0.155,100267,1730817,76223039,0.024,336445,374153,203604,137630,92219,272651,41943,316984,94.4,50645.33
Alaska,731545,710249,0.03,710231,0.07,0.246,0.125,0.479,0.653,0.037,0.156,0.065,0.014,0.075,0.073,0.602,67452,0.078,319854,0.64,265200,1907,573,1231,1680,253462,2.81,0.817,0.162,0.933,0.843,0.927,0.292,0.088,0.139,0.664,0.639,2221335,6375483,D,5216303,10474275,14320,18.8,76715,35874,0.101,21293,261053,15732010,-0.004,57391,68032,35402,22141,13688,51147,7953,56091,1.2,570640.95
Arizona,7278717,6392288,0.139,6392017,0.059,0.225,0.18,0.503,0.826,0.052,0.053,0.037,0.003,0.029,0.317,0.541,487684,0.134,3075981,0.636,209600,1394,406,1009,46580,2524300,2.69,0.822,0.272,0.899,0.818,0.868,0.289,0.086,0.136,0.592,0.545,13996635,37055881,51243473,69437272,84716542,12927,25.3,56213,29265,0.135,144867,2549128,123144606,0.041,502593,499926,245243,182425,135313,344981,46780,427582,56.3,113594.08
Arkansas,3017804,2916031,0.035,2915918,0.062,0.232,0.174,0.509,0.79,0.157,0.01,0.017,0.004,0.022,0.078,0.72,202572,0.048,1389129,0.657,123300,1071,347,729,12723,1152175,2.52,0.844,0.074,0.841,0.698,0.862,0.226,0.125,0.109,0.579,0.533,4307264,15792628,62712925,31256110,36815256,12483,21.7,45726,25635,0.162,66975,1043210,44439456,0.012,209179,231959,123158,75962,35982,189029,25915,192988,56,52035.48
California,39512223,37254519,0.061,37253956,0.06,0.225,0.148,0.503,0.719,0.065,0.016,0.155,0.005,0.04,0.394,0.365,1618861,0.269,14366336,0.546,475900,2282,569,1429,110197,12965435,2.96,0.867,0.441,0.917,0.847,0.829,0.333,0.068,0.089,0.631,0.572,90830372,248953592,512303164,666652186,481800461,12665,29.3,71228,35021,0.118,954632,15223664,1020958926,0.022,3453769,3548449,1852580,1320085,1619857,1819107,252377,3176341,239.1,155779.22
Colorado,5758736,5029319,0.145,5029196,0.058,0.219,0.146,0.496,0.869,0.046,0.016,0.035,0.002,0.031,0.218,0.677,375746,0.098,2464164,0.649,313600,1681,458,1196,38633,2113387,2.56,0.817,0.17,0.928,0.857,0.914,0.401,0.073,0.093,0.676,0.626,13617654,29488161,50447098,77034971,67815200,13073,25.5,68811,36415,0.093,172548,2423817,133693599,0.022,535299,547352,284554,194508,85849,442365,51722,469524,48.5,103641.89
Connecticut,3565287,3574147,-0.002,3574097,0.051,0.204,0.177,0.512,0.797,0.122,0.006,0.05,0.001,0.025,0.169,0.659,173998,0.143,1524992,0.663,272700,2096,877,1156,5854,1367374,2.54,0.879,0.222,0.896,0.838,0.905,0.389,0.073,0.07,0.662,0.622,9542068,29573119,55160095,161962244,51632467,14381,26.3,76106,43056,0.1,89054,1528867,97728524,-0.005,286874,326693,187845,106678,56113,259614,31056,281182,738.1,4842.36
Delaware,973764,897937,0.084,897934,0.056,0.209,0.194,0.517,0.692,0.232,0.007,0.041,0.001,0.027,0.096,0.617,66590,0.092,443781,0.711,244700,1563,465,1110,6539,357765,2.58,0.873,0.13,0.899,0.824,0.898,0.314,0.085,0.081,0.623,0.588,2148437,7003251,22597384,5628914,14456001,15763,25.8,65627,33989,0.113,25771,405809,23045652,0.013,68623,73418,38328,23964,14440,54782,7206,60318,460.8,1948.54
Florida,21477737,18804564,0.142,18801310,0.053,0.197,0.209,0.511,0.773,0.169,0.005,0.03,0.001,0.022,0.264,0.532,1452967,0.205,9673682,0.65,196800,1466,492,1128,154302,7621760,2.65,0.843,0.291,0.898,0.808,0.88,0.292,0.086,0.163,0.583,0.541,49817925,124061425,96924106,252626608,273867145,14177,27.4,53267,30197,0.127,566894,8669611,404483243,0.034,2388050,2100187,1084885,807817,926112,1121749,185756,1846686,350.6,53624.76
Georgia,10617423,9688729,0.096,9687653,0.062,0.236,0.143,0.514,0.602,0.326,0.005,0.044,0.001,0.022,0.099,0.52,636725,0.101,4378391,0.631,166800,1383,418,968,53823,3709488,2.71,0.846,0.139,0.886,0.79,0.867,0.307,0.087,0.155,0.624,0.582,18976611,51800643,155836792,143645290,119801495,12077,28.4,55679,29523,0.133,235847,3975657,204050872,0.022,955621,929864,480578,376506,371588,538893,96787,800585,168.4,57513.49
Hawaii,1415872,1360307,0.041,1360301,0.06,0.212,0.19,0.5,0.255,0.022,0.004,0.376,0.101,0.242,0.107,0.217,105563,0.183,550273,0.583,587700,2350,519,1566,4093,456782,3.02,0.863,0.261,0.9,0.833,0.918,0.325,0.065,0.05,0.618,0.595,9536706,8136947,D,9607982,18901745,13576,27.4,78084,34035,0.093,32952,551681,25119473,0.014,112589,118454,60409,44453,74208,38510,11148,101334,211.8,6422.63
