midterm_s,pct_reg_of_vep_vrs_s,percentcitizenblack_s,percentcitizenwhite_s,nonvoter_reg_pct_s
0,0.7,0.03,0.5,0.01
0,0.7,0.03,0.5,0.02
0,0.7,0.03,0.5,0.03
0,0.7,0.03,0.5,0.04
0,0.7,0.03,0.5,0.05
0,0.7,0.03,0.5,0.06
0,0.7,0.03,0.5,0.07
0,0.7,0.03,0.5,0.08
0,0.7,0.03,0.5,0.09
0,0.7,0.03,0.5,0.1
0,0.7,0.03,0.5,0.11
0,0.7,0.03,0.5,0.12
0,0.7,0.03,0.5,0.13
0,0.7,0.03,0.5,0.14
0,0.75,0.03,0.5,0.01
0,0.75,0.03,0.5,0.02
0,0.75,0.03,0.5,0.03
0,0.75,0.03,0.5,0.04
0,0.75,0.03,0.5,0.05
0,0.75,0.03,0.5,0.06
0,0.75,0.03,0.5,0.07
0,0.75,0.03,0.5,0.08
0,0.75,0.03,0.5,0.09
0,0.75,0.03,0.5,0.1
0,0.75,0.03,0.5,0.11
0,0.75,0.03,0.5,0.12
0,0.75,0.03,0.5,0.13
0,0.75,0.03,0.5,0.14
0,0.8,0.03,0.5,0.01
0,0.8,0.03,0.5,0.02
0,0.8,0.03,0.5,0.03
0,0.8,0.03,0.5,0.04
0,0.8,0.03,0.5,0.05
0,0.8,0.03,0.5,0.06
0,0.8,0.03,0.5,0.07
0,0.8,0.03,0.5,0.08
0,0.8,0.03,0.5,0.09
0,0.8,0.03,0.5,0.1
0,0.8,0.03,0.5,0.11
0,0.8,0.03,0.5,0.12
0,0.8,0.03,0.5,0.13
0,0.8,0.03,0.5,0.14
0,0.85,0.03,0.5,0.01
0,0.85,0.03,0.5,0.02
0,0.85,0.03,0.5,0.03
0,0.85,0.03,0.5,0.04
0,0.85,0.03,0.5,0.05
0,0.85,0.03,0.5,0.06
0,0.85,0.03,0.5,0.07
0,0.85,0.03,0.5,0.08
0,0.85,0.03,0.5,0.09
0,0.85,0.03,0.5,0.1
0,0.85,0.03,0.5,0.11
0,0.85,0.03,0.5,0.12
0,0.85,0.03,0.5,0.13
0,0.85,0.03,0.5,0.14
0,0.9,0.03,0.5,0.01
0,0.9,0.03,0.5,0.02
0,0.9,0.03,0.5,0.03
0,0.9,0.03,0.5,0.04
0,0.9,0.03,0.5,0.05
0,0.9,0.03,0.5,0.06
0,0.9,0.03,0.5,0.07
0,0.9,0.03,0.5,0.08
0,0.9,0.03,0.5,0.09
0,0.9,0.03,0.5,0.1
0,0.9,0.03,0.5,0.11
0,0.9,0.03,0.5,0.12
0,0.9,0.03,0.5,0.13
0,0.9,0.03,0.5,0.14
0,0.7,0.07,0.5,0.01
0,0.7,0.07,0.5,0.02
0,0.7,0.07,0.5,0.03
0,0.7,0.07,0.5,0.04
0,0.7,0.07,0.5,0.05
0,0.7,0.07,0.5,0.06
0,0.7,0.07,0.5,0.07
0,0.7,0.07,0.5,0.08
0,0.7,0.07,0.5,0.09
0,0.7,0.07,0.5,0.1
0,0.7,0.07,0.5,0.11
0,0.7,0.07,0.5,0.12
0,0.7,0.07,0.5,0.13
0,0.7,0.07,0.5,0.14
0,0.75,0.07,0.5,0.01
0,0.75,0.07,0.5,0.02
0,0.75,0.07,0.5,0.03
0,0.75,0.07,0.5,0.04
0,0.75,0.07,0.5,0.05
0,0.75,0.07,0.5,0.06
0,0.75,0.07,0.5,0.07
0,0.75,0.07,0.5,0.08
0,0.75,0.07,0.5,0.09
0,0.75,0.07,0.5,0.1
0,0.75,0.07,0.5,0.11
0,0.75,0.07,0.5,0.12
0,0.75,0.07,0.5,0.13
