,index,midterm_s,pct_reg_of_vep_vrs_s,percentcitizenblack_s,percentcitizenwhite_s,nonvoter_reg_pct_s,turnout_pred
0,0,0,0.7,0.03,0.5,0.01,0.5339
1,1,0,0.7,0.03,0.5,0.02,0.5339
2,2,0,0.7,0.03,0.5,0.03,0.5339
3,3,0,0.7,0.03,0.5,0.04,0.53025
4,4,0,0.7,0.03,0.5,0.05,0.5297
5,5,0,0.7,0.03,0.5,0.06,0.5312
6,6,0,0.7,0.03,0.5,0.07,0.53095
7,7,0,0.7,0.03,0.5,0.08,0.5403
8,8,0,0.7,0.03,0.5,0.09,0.5394500000000001
9,9,0,0.7,0.03,0.5,0.1,0.5360500000000001
10,10,0,0.7,0.03,0.5,0.11,0.5360500000000001
11,11,0,0.7,0.03,0.5,0.12,0.5360500000000001
12,12,0,0.7,0.03,0.5,0.13,0.5360500000000001
13,13,0,0.7,0.03,0.5,0.14,0.5360500000000001
14,14,0,0.75,0.03,0.5,0.01,0.54285
15,15,0,0.75,0.03,0.5,0.02,0.54285
16,16,0,0.75,0.03,0.5,0.03,0.54285
17,17,0,0.75,0.03,0.5,0.04,0.5392
18,18,0,0.75,0.03,0.5,0.05,0.53865
19,19,0,0.75,0.03,0.5,0.06,0.54015
20,20,0,0.75,0.03,0.5,0.07,0.5399
21,21,0,0.75,0.03,0.5,0.08,0.5515000000000001
22,22,0,0.75,0.03,0.5,0.09,0.5514000000000001
23,23,0,0.75,0.03,0.5,0.1,0.54775
24,24,0,0.75,0.03,0.5,0.11,0.54775
25,25,0,0.75,0.03,0.5,0.12,0.54775
26,26,0,0.75,0.03,0.5,0.13,0.54775
27,27,0,0.75,0.03,0.5,0.14,0.54775
28,28,0,0.8,0.03,0.5,0.01,0.5554
29,29,0,0.8,0.03,0.5,0.02,0.5554
30,30,0,0.8,0.03,0.5,0.03,0.55515
31,31,0,0.8,0.03,0.5,0.04,0.54325
32,32,0,0.8,0.03,0.5,0.05,0.5436
33,33,0,0.8,0.03,0.5,0.06,0.5477
34,34,0,0.8,0.03,0.5,0.07,0.54965
35,35,0,0.8,0.03,0.5,0.08,0.5626499999999999
36,36,0,0.8,0.03,0.5,0.09,0.5628
37,37,0,0.8,0.03,0.5,0.1,0.5603
38,38,0,0.8,0.03,0.5,0.11,0.5603
39,39,0,0.8,0.03,0.5,0.12,0.5603
40,40,0,0.8,0.03,0.5,0.13,0.5603
