,midterm_s,pct_reg_of_vep_vrs_s,percentcitizenblack_s,percentcitizenwhite_s,nonvoter_reg_pct_s,turnout_pred
0,0,0.7,0.03,0.5,0.01,0.6026470000000039
1,0,0.7,0.03,0.5,0.02,0.5709720000000044
2,0,0.7,0.03,0.5,0.03,0.5736950000000042
3,0,0.7,0.03,0.5,0.04,0.5726110000000041
4,0,0.7,0.03,0.5,0.05,0.5720470000000036
5,0,0.7,0.03,0.5,0.06,0.5720990000000037
6,0,0.7,0.03,0.5,0.07,0.5721820000000036
7,0,0.7,0.03,0.5,0.08,0.5721100000000038
8,0,0.7,0.03,0.5,0.09,0.5719510000000035
9,0,0.7,0.03,0.5,0.1,0.5721040000000036
10,0,0.7,0.03,0.5,0.11,0.5728650000000033
11,0,0.7,0.03,0.5,0.12,0.5728100000000034
12,0,0.7,0.03,0.5,0.13,0.5721450000000033
13,0,0.7,0.03,0.5,0.14,0.5718090000000032
14,0,0.75,0.03,0.5,0.01,0.6040320000000036
15,0,0.75,0.03,0.5,0.02,0.5737880000000037
16,0,0.75,0.03,0.5,0.03,0.5762720000000033
17,0,0.75,0.03,0.5,0.04,0.5750800000000031
18,0,0.75,0.03,0.5,0.05,0.5745160000000027
19,0,0.75,0.03,0.5,0.06,0.5745680000000027
20,0,0.75,0.03,0.5,0.07,0.5746320000000027
21,0,0.75,0.03,0.5,0.08,0.5745400000000027
22,0,0.75,0.03,0.5,0.09,0.5743570000000027
23,0,0.75,0.03,0.5,0.1,0.5745110000000025
24,0,0.75,0.03,0.5,0.11,0.5752640000000023
25,0,0.75,0.03,0.5,0.12,0.5752010000000024
26,0,0.75,0.03,0.5,0.13,0.5742970000000025
27,0,0.75,0.03,0.5,0.14,0.5738670000000026
28,0,0.8,0.03,0.5,0.01,0.6089170000000063
29,0,0.8,0.03,0.5,0.02,0.5887560000000043
30,0,0.8,0.03,0.5,0.03,0.5879690000000043
31,0,0.8,0.03,0.5,0.04,0.5885500000000039
32,0,0.8,0.03,0.5,0.05,0.5887910000000038
33,0,0.8,0.03,0.5,0.06,0.5899570000000044
34,0,0.8,0.03,0.5,0.07,0.5904470000000048
35,0,0.8,0.03,0.5,0.08,0.5907070000000048
36,0,0.8,0.03,0.5,0.09,0.5905740000000049
37,0,0.8,0.03,0.5,0.1,0.5904570000000052
38,0,0.8,0.03,0.5,0.11,0.5898990000000055
39,0,0.8,0.03,0.5,0.12,0.5884960000000052
40,0,0.8,0.03,0.5,0.13,0.5855950000000052
41,0,0.8,0.03,0.5,0.14,0.5853880000000049
42,0,0.85,0.03,0.5,0.01,0.6783070000000047
43,0,0.85,0.03,0.5,0.02,0.6777900000000043
44,0,0.85,0.03,0.5,0.03,0.6788900000000039
45,0,0.85,0.03,0.5,0.04,0.680972000000004
46,0,0.85,0.03,0.5,0.05,0.6805800000000048
47,0,0.85,0.03,0.5,0.06,0.6794970000000047
48,0,0.85,0.03,0.5,0.07,0.6777140000000047
49,0,0.85,0.03,0.5,0.08,0.674706000000005
50,0,0.85,0.03,0.5,0.09,0.6749250000000049
51,0,0.85,0.03,0.5,0.1,0.673646000000005
52,0,0.85,0.03,0.5,0.11,0.673222000000005
53,0,0.85,0.03,0.5,0.12,0.6732140000000051
54,0,0.85,0.03,0.5,0.13,0.6731540000000051
55,0,0.85,0.03,0.5,0.14,0.6731890000000051
56,0,0.9,0.03,0.5,0.01,0.7096970000000014
57,0,0.9,0.03,0.5,0.02,0.7095160000000014
58,0,0.9,0.03,0.5,0.03,0.710401000000001
59,0,0.9,0.03,0.5,0.04,0.7119530000000008
60,0,0.9,0.03,0.5,0.05,0.7084410000000031
61,0,0.9,0.03,0.5,0.06,0.707014000000003
62,0,0.9,0.03,0.5,0.07,0.7052680000000031
63,0,0.9,0.03,0.5,0.08,0.7027810000000029
64,0,0.9,0.03,0.5,0.09,0.702850000000003
65,0,0.9,0.03,0.5,0.1,0.7010670000000029
66,0,0.9,0.03,0.5,0.11,0.7001490000000026
67,0,0.9,0.03,0.5,0.12,0.7001490000000026
68,0,0.9,0.03,0.5,0.13,0.7001490000000026
69,0,0.9,0.03,0.5,0.14,0.7001630000000026
70,0,0.7,0.07,0.5,0.01,0.6026470000000039
71,0,0.7,0.07,0.5,0.02,0.5709720000000044
72,0,0.7,0.07,0.5,0.03,0.5736950000000042
73,0,0.7,0.07,0.5,0.04,0.5726110000000041
74,0,0.7,0.07,0.5,0.05,0.5720470000000036
75,0,0.7,0.07,0.5,0.06,0.5720990000000037
76,0,0.7,0.07,0.5,0.07,0.5721820000000036
77,0,0.7,0.07,0.5,0.08,0.5721100000000038
78,0,0.7,0.07,0.5,0.09,0.5719510000000035
79,0,0.7,0.07,0.5,0.1,0.5721040000000036
80,0,0.7,0.07,0.5,0.11,0.5728650000000033
81,0,0.7,0.07,0.5,0.12,0.5728100000000034
82,0,0.7,0.07,0.5,0.13,0.5721450000000033
83,0,0.7,0.07,0.5,0.14,0.5718090000000032
84,0,0.75,0.07,0.5,0.01,0.6040320000000036
85,0,0.75,0.07,0.5,0.02,0.5737880000000037
86,0,0.75,0.07,0.5,0.03,0.5762720000000033
87,0,0.75,0.07,0.5,0.04,0.5750800000000031
88,0,0.75,0.07,0.5,0.05,0.5745160000000027
89,0,0.75,0.07,0.5,0.06,0.5745680000000027
90,0,0.75,0.07,0.5,0.07,0.5746320000000027
91,0,0.75,0.07,0.5,0.08,0.5745400000000027
92,0,0.75,0.07,0.5,0.09,0.5743570000000027
93,0,0.75,0.07,0.5,0.1,0.5745110000000025
94,0,0.75,0.07,0.5,0.11,0.5752640000000023
95,0,0.75,0.07,0.5,0.12,0.5752010000000024
96,0,0.75,0.07,0.5,0.13,0.5742970000000025
97,0,0.75,0.07,0.5,0.14,0.5738670000000026
98,0,0.8,0.07,0.5,0.01,0.6089170000000063
99,0,0.8,0.07,0.5,0.02,0.5887560000000043
100,0,0.8,0.07,0.5,0.03,0.5879690000000043
101,0,0.8,0.07,0.5,0.04,0.5885500000000039
102,0,0.8,0.07,0.5,0.05,0.5887910000000038
103,0,0.8,0.07,0.5,0.06,0.5899570000000044
104,0,0.8,0.07,0.5,0.07,0.5904470000000048
105,0,0.8,0.07,0.5,0.08,0.5907070000000048
106,0,0.8,0.07,0.5,0.09,0.5905740000000049
107,0,0.8,0.07,0.5,0.1,0.5904570000000052
108,0,0.8,0.07,0.5,0.11,0.5898990000000055
109,0,0.8,0.07,0.5,0.12,0.5884960000000052
110,0,0.8,0.07,0.5,0.13,0.5855950000000052
111,0,0.8,0.07,0.5,0.14,0.5853880000000049
112,0,0.85,0.07,0.5,0.01,0.6783070000000047
113,0,0.85,0.07,0.5,0.02,0.6777900000000043
114,0,0.85,0.07,0.5,0.03,0.6788900000000039
115,0,0.85,0.07,0.5,0.04,0.680972000000004
116,0,0.85,0.07,0.5,0.05,0.6805800000000048
117,0,0.85,0.07,0.5,0.06,0.6794970000000047
118,0,0.85,0.07,0.5,0.07,0.6777140000000047
119,0,0.85,0.07,0.5,0.08,0.674706000000005
120,0,0.85,0.07,0.5,0.09,0.6749250000000049
121,0,0.85,0.07,0.5,0.1,0.673646000000005
122,0,0.85,0.07,0.5,0.11,0.673222000000005
123,0,0.85,0.07,0.5,0.12,0.6732140000000051
124,0,0.85,0.07,0.5,0.13,0.6731540000000051
125,0,0.85,0.07,0.5,0.14,0.6731890000000051
126,0,0.9,0.07,0.5,0.01,0.7096970000000014
127,0,0.9,0.07,0.5,0.02,0.7095160000000014
128,0,0.9,0.07,0.5,0.03,0.710401000000001
129,0,0.9,0.07,0.5,0.04,0.7119530000000008
130,0,0.9,0.07,0.5,0.05,0.7084410000000031
131,0,0.9,0.07,0.5,0.06,0.707014000000003
132,0,0.9,0.07,0.5,0.07,0.7052680000000031
133,0,0.9,0.07,0.5,0.08,0.7027810000000029
134,0,0.9,0.07,0.5,0.09,0.702850000000003
135,0,0.9,0.07,0.5,0.1,0.7010670000000029
136,0,0.9,0.07,0.5,0.11,0.7001490000000026
137,0,0.9,0.07,0.5,0.12,0.7001490000000026
138,0,0.9,0.07,0.5,0.13,0.7001490000000026
139,0,0.9,0.07,0.5,0.14,0.7001630000000026
140,0,0.7,0.1,0.5,0.01,0.6026470000000039
141,0,0.7,0.1,0.5,0.02,0.5709720000000044
142,0,0.7,0.1,0.5,0.03,0.5736950000000042
143,0,0.7,0.1,0.5,0.04,0.5726110000000041
144,0,0.7,0.1,0.5,0.05,0.5720470000000036
145,0,0.7,0.1,0.5,0.06,0.5720990000000037
146,0,0.7,0.1,0.5,0.07,0.5721820000000036
147,0,0.7,0.1,0.5,0.08,0.5721100000000038
148,0,0.7,0.1,0.5,0.09,0.5719510000000035
149,0,0.7,0.1,0.5,0.1,0.5721040000000036
150,0,0.7,0.1,0.5,0.11,0.5728650000000033
151,0,0.7,0.1,0.5,0.12,0.5728100000000034
152,0,0.7,0.1,0.5,0.13,0.5721450000000033
153,0,0.7,0.1,0.5,0.14,0.5718090000000032
154,0,0.75,0.1,0.5,0.01,0.6040320000000036
155,0,0.75,0.1,0.5,0.02,0.5737880000000037
156,0,0.75,0.1,0.5,0.03,0.5762720000000033
157,0,0.75,0.1,0.5,0.04,0.5750800000000031
158,0,0.75,0.1,0.5,0.05,0.5745160000000027
159,0,0.75,0.1,0.5,0.06,0.5745680000000027
160,0,0.75,0.1,0.5,0.07,0.5746320000000027
161,0,0.75,0.1,0.5,0.08,0.5745400000000027
162,0,0.75,0.1,0.5,0.09,0.5743570000000027
163,0,0.75,0.1,0.5,0.1,0.5745110000000025
164,0,0.75,0.1,0.5,0.11,0.5752640000000023
165,0,0.75,0.1,0.5,0.12,0.5752010000000024
166,0,0.75,0.1,0.5,0.13,0.5742970000000025
167,0,0.75,0.1,0.5,0.14,0.5738670000000026
168,0,0.8,0.1,0.5,0.01,0.6089170000000063
169,0,0.8,0.1,0.5,0.02,0.5887560000000043
170,0,0.8,0.1,0.5,0.03,0.5879690000000043
171,0,0.8,0.1,0.5,0.04,0.5885500000000039
172,0,0.8,0.1,0.5,0.05,0.5887910000000038
173,0,0.8,0.1,0.5,0.06,0.5899570000000044
174,0,0.8,0.1,0.5,0.07,0.5904470000000048
175,0,0.8,0.1,0.5,0.08,0.5907070000000048
176,0,0.8,0.1,0.5,0.09,0.5905740000000049
177,0,0.8,0.1,0.5,0.1,0.5904570000000052
178,0,0.8,0.1,0.5,0.11,0.5898990000000055
179,0,0.8,0.1,0.5,0.12,0.5884960000000052
180,0,0.8,0.1,0.5,0.13,0.5855950000000052
181,0,0.8,0.1,0.5,0.14,0.5853880000000049
182,0,0.85,0.1,0.5,0.01,0.6783070000000047
183,0,0.85,0.1,0.5,0.02,0.6777900000000043
184,0,0.85,0.1,0.5,0.03,0.6788900000000039
185,0,0.85,0.1,0.5,0.04,0.680972000000004
186,0,0.85,0.1,0.5,0.05,0.6805800000000048
187,0,0.85,0.1,0.5,0.06,0.6794970000000047
188,0,0.85,0.1,0.5,0.07,0.6777140000000047
189,0,0.85,0.1,0.5,0.08,0.674706000000005
190,0,0.85,0.1,0.5,0.09,0.6749250000000049
191,0,0.85,0.1,0.5,0.1,0.673646000000005
192,0,0.85,0.1,0.5,0.11,0.673222000000005
193,0,0.85,0.1,0.5,0.12,0.6732140000000051
194,0,0.85,0.1,0.5,0.13,0.6731540000000051
195,0,0.85,0.1,0.5,0.14,0.6731890000000051
196,0,0.9,0.1,0.5,0.01,0.7096970000000014
197,0,0.9,0.1,0.5,0.02,0.7095160000000014
198,0,0.9,0.1,0.5,0.03,0.710401000000001
199,0,0.9,0.1,0.5,0.04,0.7119530000000008
200,0,0.9,0.1,0.5,0.05,0.7084410000000031
201,0,0.9,0.1,0.5,0.06,0.707014000000003
202,0,0.9,0.1,0.5,0.07,0.7052680000000031
203,0,0.9,0.1,0.5,0.08,0.7027810000000029
